stationid,latitude,longitude,depth,stationdepthunits,areaweight,replicate,sampledate,taxon,abundance,exclude,stratum,finalstratum,salinity,areaweight_all_sites
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Mactrotoma californica,9,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Carinoma mutabilis,7,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Diopatra ornata,7,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Polydora sp,7,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Scleroplax granulata,7,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Tagelus subteres,6,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Hartmanodes hartmanae,5,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ampharete labrops,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Diplocirrus sp SD1,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ericthonius sp SD1,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Metasychis disparidentatus,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Pseudopolydora paucibranchiata,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Scoletoma sp B,4,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ampharetidae,3,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Anotomastus gordiodes,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Diopatra tridentata,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Goniada littorea,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Kurtiella coani,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Notopoma sp A,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Petaloclymene pacifica,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Praxillella pacifica,3,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ampelisca brevisimulata,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Amphicteis scaphobranchiata,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Amphiodia sp,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Caprella californica Cmplx,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Caprella sp,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Lumbrineris japonica,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Macoma yoldiformis,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Marphysa disjuncta,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Mediomastus sp,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Notomastus hemipodus,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Nuculana taphria,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Phoronis sp,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Photis bifurcata,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Tubulanus sp A,2,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ampelisca brachycladus,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Amphipoda,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Asthenothaerus diegensis,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Brachyura,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Caecognathia crenulatifrons,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Carinomella lactea,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Ceriantharia,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Cirrophorus furcatus,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Cossura candida,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Eupolymnia heterobranchia,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Garnotia naticarum,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Kirkegaardia cryptica,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Laonice cirrata,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Leptopecten latiauratus,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Lineidae,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Lyonsia californica,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Macoma sp,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Majoidea,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Maldanidae,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Metamysidopsis elongata,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Neotrypaea sp,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Nereididae,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Nereis sp A,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Notomastus sp,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Onuphidae,1,Yes,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Paraprionospio alata,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Philine auriformis,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Schizocardium sp,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Scoletoma sp C,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Spiochaetopterus costarum Cmplx,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Spiophanes duplex,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Stylatula elongata,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Tellina cadieni,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Thysanocardia nigra,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Tubulanus polymorphus,1,No,Bays,Bays,-88,2.13005774
B18-10000,33.75918333,-118.1626333,5,m,2.13005774,1,7/24/2018,Virgularia californica,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Amphideutopus oculatus,150,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Petaloclymene pacifica,26,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Maldanidae,22,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Chondrochelia dubia Cmplx,21,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Scoletoma sp A,18,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Scoletoma sp,16,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Ampelisca cristata microdentata,13,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Cossura candida,12,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Scoletoma sp B,10,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Mediomastus sp,9,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Praxillella pacifica,9,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Cossura sp A,6,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Goniada littorea,6,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Sinocorophium heteroceratum,6,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Diplocirrus sp SD1,5,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Listriella goleta,5,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Tubulanus polymorphus,5,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Ampelisca brevisimulata,4,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Chaetozone corona,4,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Kirkegaardia siblina,4,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Nereis sp A,4,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Paraprionospio alata,4,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Anotomastus gordiodes,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Capitellidae,2,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Diopatra sp,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Euchone limnicola,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Euphilomedes carcharodonta,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Laonice cirrata,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Lineidae,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Microspio pigmentata,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Palaeonemertea,2,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Pseudopolydora paucibranchiata,2,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Amphicteis scaphobranchiata,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Aricidea (Acmira) horikoshii,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Caecognathia crenulatifrons,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Callianax baetica,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Eugyra glutinans,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Hartmanodes hartmanae,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Hesionidae,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Leitoscoloplos pugettensis,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Lumbrineris japonica,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Macoma yoldiformis,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Marphysa disjuncta,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Metamysidopsis elongata,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Metasychis disparidentatus,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Mysidopsis intii,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Notomastus hemipodus,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Nuculana taphria,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Onuphidae,1,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Paradialychone paramollis,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Phoronis sp,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Pilargis sp A,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Poecilochaetus martini,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Poecilochaetus sp,1,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Prionospio lighti,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Spiochaetopterus costarum Cmplx,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Spiophanes duplex,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Spiophanes norrisi,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Spiophanes sp,1,Yes,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Stylatula sp A,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Tenonia priops,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Theora lubrica,1,No,Bays,Bays,-88,2.13005774
B18-10001,33.7531,-118.1501833,7,m,2.13005774,1,7/24/2018,Virgularia californica,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Scoletoma sp,14,Yes,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Poecilochaetus martini,8,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Amphiodia urtica,6,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Kirkegaardia siblina,5,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Vitrinella oldroydi,5,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Scoletoma sp B,4,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Amphiodia sp,3,Yes,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Chaetozone corona,3,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Cossura candida,3,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Listriella goleta,3,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Ampelisca brevisimulata,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Glycera americana,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Pinnixa sp,2,Yes,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Scleroplax granulata,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Sinocorophium heteroceratum,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Spiochaetopterus costarum Cmplx,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Theora lubrica,2,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Ampharetidae,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Amphideutopus oculatus,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Caryocorbula luteola,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Cossura sp A,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Leitoscoloplos pugettensis,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Macoma yoldiformis,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Mactridae,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Mediomastus sp,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Notomastus hemipodus,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Odostomia sp,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Paraprionospio alata,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Paraprionospio sp,1,Yes,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Periploma discus,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Philine ornatissima,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Phoronis sp,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Pinnixa franciscana,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Prionospio lighti,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Tubulanidae,1,No,Bays,Bays,-88,2.13005774
B18-10002,33.744,-118.1687333,11,m,2.13005774,1,7/24/2018,Virgularia californica,1,No,Bays,Bays,-88,2.13005774
B18-10003,33.743833,-118.1401,9.4,m,2.13005774,1,8/9/2018,Amphideutopus oculatus,130,No,Bays,Bays,33.9,2.13005774
B18-10003,33.743833,-118.1401,9.4,m,2.13005774,1,8/9/2018,Scoletoma sp,24,Yes,Bays,Bays,33.9,2.13005774
B18-10003,33.743833,-118.1401,9.4,m,2.13005774,1,8/9/2018,Cossura sp A,22,No,Bays,Bays,33.9,2.13005774
B18-10003,33.743833,-118.1401,9.4,m,2.13005774,1,8/9/2018,Leitoscoloplos pugettensis,15,No,Bays,Bays,33.9,2.13005774
B18-10003,33.743833,-118.1401,9.4,m,2.13005774,1,8/9/2018,Petaloclymene pacifica,14,No,Bays,Bays,33.9,2.13005774
