StationID,Taxa,Abundance,Spell Checker
DemoData,Harmothoe imbricata Cmplx,4,Correct
DemoData,Leptosynapta sp,1,Correct
DemoData,Lyonsia californica,1,Correct
DemoData,Mediomastus sp,1,Correct
DemoData,Musculista senhousia,57,Correct
DemoData,Paracerceis sculpta,214,Correct
DemoData,Paranthura elegans,4,Correct
DemoData,Pherusa capulata,3,Correct
DemoData,Tectura depicta,8,Correct
DemoData,Tryonia sp,2,Correct
CA00-0004,Ampelisca abdita,2,Correct
CA00-0004,Bivalvia,1,Correct
CA00-0004,Cirratulidae,1,Correct
CA00-0004,Eusarsiella zostericola,1,Correct
CA00-0004,Exogone lourei,2,Correct
CA00-0004,Gemma gemma,2,Correct
CA00-0004,Glycinde polygnatha,7,Correct
CA00-0004,Grandidierella japonica,10,Correct
CA00-0004,Heteromastus filiformis,11,Correct
CA00-0004,Heteromastus sp,77,Correct
CA00-0004,Leitoscoloplos pugettensis,2,Correct
CA00-0004,Mediomastus sp,7,Correct
CA00-0004,Monocorophium acherusicum,1,Correct
CA00-0004,Muricidae,1,Correct
CA00-0004,Neanthes succinea,8,Correct
CA00-0004,Oedicerotidae,1,Correct
CA00-0004,Oligochaeta,8,Correct
CA00-0004,Polydora cornuta,1,Correct
CA00-0004,Scoletoma tetraura Cmplx,1,Correct
CA00-0004,Streblospio benedicti,1,Correct
CA00-0004,Terebellidae,1,Correct
CA00-0004,Venerupis philippinarum,1,Correct
CA00-0045,Ampelisca abdita,90,Correct
CA00-0045,Bivalvia,3,Correct
CA00-0045,Boccardiella ligerica,2,Correct
CA00-0045,Busycotypus canaliculatus,2,Correct
CA00-0045,Cirratulidae,1,Correct
CA00-0045,Cirriformia sp,12,Correct
CA00-0045,Cumella vulgaris,4,Correct
CA00-0045,Dipolydora sp,3,Correct
CA00-0045,Dorvillea (Schistomeringos) sp,7,Correct
CA00-0045,Eusarsiella zostericola,12,Correct
CA00-0045,Exogone lourei,158,Correct
CA00-0045,Glycinde polygnatha,14,Correct
CA00-0045,Gnorimosphaeroma oregonense,1,Correct
CA00-0045,Grandidierella japonica,22,Correct
CA00-0045,Harmothoe imbricata Cmplx,90,Correct
CA00-0045,Harmothoinae,2,Correct
CA00-0045,Heteromastus filiformis,18,Correct
CA00-0045,Leitoscoloplos pugettensis,10,Correct
CA00-0045,Marphysa sanguinea,9,Correct
CA00-0045,Modiolus sp,7,Correct
CA00-0045,Molgula sp,10,Correct
CA00-0045,Monocorophium acherusicum,16,Correct
CA00-0045,Musculista senhousia,18,Correct
CA00-0045,Mya arenaria,1,Correct
CA00-0045,Neanthes succinea,20,Correct
CA00-0045,Nippoleucon hinumensis,25,Correct
CA00-0045,Oligochaeta,66,Correct
CA00-0045,Paleanotus bellis,3,Correct
CA00-0045,Paranthura elegans,15,Correct
CA00-0045,Podocopida,1,Correct
CA00-0045,Polycirrus sp,8,Correct
CA00-0045,Polydora cornuta,11,Correct
CA00-0045,Pseudopolydora kempi,1,Correct
CA00-0045,Pseudopolydora paucibranchiata,13,Correct
CA00-0045,Sinocorophium alienense,1,Correct
CA00-0045,Sphaerosyllis sp N1,5,Correct
CA00-0045,Syllis (Typosyllis) nipponica,2,Correct
CA00-0045,Syllis (Typosyllis) sp,2,Correct
CA00-0045,Terebella sp,1,Correct
CA00-0045,Tharyx sp,9,Correct
CA00-0045,Turbellaria,6,Correct
CA00-0045,Urosalpinx cinerea,2,Correct
CA00-0045,Venerupis philippinarum,29,Correct
