TaxonName,Phylum,Class,Order,Family
Aphelochaeta petersenae,Annelida,Polychaeta,Spionida,Cirratulidae
Aphelochaeta sp,Annelida,Polychaeta,Spionida,Cirratulidae
Aphrodita brevitentaculata,Annelida,Polychaeta,Phyllodocida,Aphroditidae
Aphrodita sp,Annelida,Polychaeta,Phyllodocida,Aphroditidae
Apionsoma misakianum,Sipuncula,Phascolosomatidea,Phascolosomatiformes,Phascolosomatidae
Apionsoma murinae,Sipuncula,Phascolosomatidea,Phascolosomatiformes,Phascolosomatidae
Apistobranchus ornatus,Annelida,Polychaeta,Spionida,Apistobranchidae
Aplousobranchiata,Chordata,Ascidiacea,Aplousobranchiata,
Aplysiopsis enteromorphae,Mollusca,Gastropoda,Sacoglossa,Oleidae
Apolochus barnardi,Arthropoda,Malacostraca,Amphipoda,Amphilochidae
Apoprionospio pygmaea,Annelida,Polychaeta,Spionida,Spionidae
Arabella sp,Annelida,Polychaeta,Eunicida,Oenonidae
Araphura breviaria,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae
Archaeomysis grebnitzkii,Arthropoda,Malacostraca,Mysidacea,Mysidae
Arcturidae,Arthropoda,Malacostraca,Isopoda,Arcturidae
Argissa hamatipes,Arthropoda,Malacostraca,Amphipoda,Argissidae
Argopecten ventricosus,Mollusca,Bivalvia,Ostreoida,Pectinidae
Aricidea (Acmira) catherinae,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Acmira) horikoshii,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Acmira) lopezi,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Acmira) simplex,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Acmira) sp,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Aedicira) sp,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Allia) antennata,Annelida,Polychaeta,Orbiniida,Paraonidae
Aricidea (Aricidea) wassi,Annelida,Polychaeta,Orbiniida,Paraonidae
Armandia brevis,Annelida,Polychaeta,Opheliida,Opheliidae
Armina californica,Mollusca,Gastropoda,Nudibranchia,Arminidae
Aruga sp,Arthropoda,Malacostraca,Amphipoda,Lysianassidae
Ascidia sp,Chordata,Ascidiacea,Phlebobranchiata,Ascidiidae
Ascidiacea,Chordata,Ascidiacea,,
Assiminea californica,Mollusca,Gastropoda,Neotaenioglossa,Assimineidae
Asteropella slatteryi,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae
Asthenothaerus diegensis,Mollusca,Bivalvia,Pholadomyoida,Thraciidae
Astropecten verrilli,Echinodermata,Asteroidea,Paxillosida,Astropectinidae
Astyris aurantiaca,Mollusca,Gastropoda,Neogastropoda,Columbellidae
Astyris gausapata,Mollusca,Gastropoda,Neogastropoda,Columbellidae
Atylus tridens,Arthropoda,Malacostraca,Amphipoda,Dexaminidae
Autolytus sp,Annelida,Polychaeta,Phyllodocida,Syllidae
Axinopsida serricata,Mollusca,Bivalvia,Veneroida,Thyasiridae
Axiothella sp,Annelida,Polychaeta,Capitellida,Maldanidae
Barantolla nr americana,Annelida,Polychaeta,Capitellida,Capitellidae
Barleeia sp,Mollusca,Gastropoda,Neotaenioglossa,Barleeidae
Batea transversa,Arthropoda,Malacostraca,Amphipoda,Bateidae
Bathycopea daltonae,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae
Bathyleberis sp,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae
Bemlos macromanus,Arthropoda,Malacostraca,Amphipoda,Aoridae
Bemlos sp,Arthropoda,Malacostraca,Amphipoda,Aoridae
Berthella sp,Mollusca,Gastropoda,Notaspidea,Pleurobranchidae
Betaeus ensenadensis,Arthropoda,Malacostraca,Decapoda,Alpheidae
Betaeus harrimani,Arthropoda,Malacostraca,Decapoda,Alpheidae
Betaeus longidactylus,Arthropoda,Malacostraca,Decapoda,Alpheidae
Betaeus sp,Arthropoda,Malacostraca,Decapoda,Alpheidae
Bispira sp,Annelida,Polychaeta,Sabellida,Sabellidae
Bivalvia,Mollusca,Bivalvia,,
Boccardia basilaria,Annelida,Polychaeta,Spionida,Spionidae
Boccardia columbiana,Annelida,Polychaeta,Spionida,Spionidae
Boccardia proboscidea,Annelida,Polychaeta,Spionida,Spionidae
Boccardia sp,Annelida,Polychaeta,Spionida,Spionidae
Boccardiella hamata,Annelida,Polychaeta,Spionida,Spionidae
Boccardiella ligerica,Annelida,Polychaeta,Spionida,Spionidae
Boccardiella sp,Annelida,Polychaeta,Spionida,Spionidae
Boreocingula martyni,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae
Botryllus sp,Chordata,Ascidiacea,Stolidobranchiata,Styelidae
Brachyura,Arthropoda,Malacostraca,Decapoda,
Branchiostoma californiense,Chordata,Cephalochordata,Amphioxiformes,Branchiostomatidae
Branchiosyllis sp,Annelida,Polychaeta,Phyllodocida,Syllidae
Brania sp,Annelida,Polychaeta,Phyllodocida,Syllidae
Bulla gouldiana,Mollusca,Gastropoda,Cephalaspidea,Bullidae
Bullomorpha sp A,Mollusca,Gastropoda,Cephalaspidea,
Bunodeopsis sp A,Cnidaria,Anthozoa,Actiniaria,Boloceroididae
Busycotypus canaliculatus,Mollusca,Gastropoda,,Melongenidae
Cadulus aberrans,Mollusca,Scaphopoda,Gadilida,Gadilidae
Caecognathia sp,Arthropoda,Malacostraca,Isopoda,Gnathiidae
Caecum californicum,Mollusca,Gastropoda,Neotaenioglossa,Caecidae
Caecum crebricinctum,Mollusca,Gastropoda,Neotaenioglossa,Caecidae
Caecum occidentale,Mollusca,Gastropoda,Neotaenioglossa,Caecidae
Califanthura squamosissima,Arthropoda,Malacostraca,Isopoda,Paranthuridae
Callianassidae,Arthropoda,Malacostraca,Decapoda,Callianassidae
Callipallene brevirostris,Arthropoda,Pycnogonida,Pegmata,Callipallenidae
Calocarides sp,Arthropoda,Malacostraca,Decapoda,Axiidae
Calyptraea fastigiata,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Campylaspis biplicata,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Campylaspis canaliculata,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Campylaspis rubromaculata,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Campylaspis sp C,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Cancer antennarius,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer anthonyi,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer gracilis,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer jordani,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer magister,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer oregonensis,Arthropoda,Malacostraca,Decapoda,Cancridae
Cancer sp,Arthropoda,Malacostraca,Decapoda,Cancridae
Capitella capitata Cmplx,Annelida,Polychaeta,Capitellida,Capitellidae
Capitellidae,Annelida,Polychaeta,Capitellida,Capitellidae
Caprella alaskana,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella californica,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella drepanochir,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella equilibra,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella gracilior,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella laeviuscula,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella mendax,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella natalensis,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella scaura,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella sp,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprella verrucosa,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprellidae,Arthropoda,Malacostraca,Amphipoda,Caprellidae
Caprellidea,Arthropoda,Malacostraca,Amphipoda,
Carazziella sp,Annelida,Polychaeta,Spionida,Spionidae
Caridea,Arthropoda,Malacostraca,Decapoda,
Caudina arenicola,Echinodermata,Holothuroidea,Molpadida,Caudinidae
Caulleriella apicula,Annelida,Polychaeta,Spionida,Cirratulidae
Caulleriella pacifica,Annelida,Polychaeta,Spionida,Cirratulidae
Ceradocus spinicaudus,Arthropoda,Malacostraca,Amphipoda,Melitidae
Cerapus tubularis Cmplx,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae
Ceratonereis mirabilis,Annelida,Polychaeta,Phyllodocida,Nereididae
Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae
Cerberilla sp,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae
Ceriantharia,Cnidaria,Anthozoa,Ceriantharia,
Cerithidea californica,Mollusca,Gastropoda,Neotaenioglossa,Potamididae
Cerithiopsis sp,Mollusca,Gastropoda,Neotaenioglossa,Cerithiopsidae
Chaetodermatida,Mollusca,Aplacophora,Chaetodermatida,
Chaetopteridae,Annelida,Polychaeta,Spionida,Chaetopteridae
Chaetopterus variopedatus Cmplx,Annelida,Polychaeta,Spionida,Chaetopteridae
Chaetozone bansei,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone columbiana,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone corona,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone lunula,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone senticosa,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone setosa Cmplx,Annelida,Polychaeta,Spionida,Cirratulidae
Chaetozone sp,Annelida,Polychaeta,Spionida,Cirratulidae
Chama arcana,Mollusca,Bivalvia,Veneroida,Chamidae
Chauliopleona dentata,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae
Cheirophotis sp,Arthropoda,Malacostraca,Amphipoda,Corophiidae
Chelura terebrans,Arthropoda,Malacostraca,Amphipoda,Cheluridae
Chione californiensis,Mollusca,Bivalvia,Veneroida,Veneridae
Chione sp,Mollusca,Bivalvia,Veneroida,Veneridae
Chione undatella,Mollusca,Bivalvia,Veneroida,Veneridae
Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae
Chone albocincta,Annelida,Polychaeta,Sabellida,Sabellidae
Chone duneri,Annelida,Polychaeta,Sabellida,Sabellidae
Chone ecaudata,Annelida,Polychaeta,Sabellida,Sabellidae
Chone infundibuliformis,Annelida,Polychaeta,Sabellida,Sabellidae
Chone minuta,Annelida,Polychaeta,Sabellida,Sabellidae
Chone mollis,Annelida,Polychaeta,Sabellida,Sabellidae
Chone sp,Annelida,Polychaeta,Sabellida,Sabellidae
Chone veleronis,Annelida,Polychaeta,Sabellida,Sabellidae
Ciona intestinalis,Chordata,Ascidiacea,Phlebobranchiata,Cionidae
Cirratulidae,Annelida,Polychaeta,Spionida,Cirratulidae
Cirratulus sp,Annelida,Polychaeta,Spionida,Cirratulidae
Cirriformia sp,Annelida,Polychaeta,Spionida,Cirratulidae
Cirrophorus furcatus,Annelida,Polychaeta,Orbiniida,Paraonidae
Clinocardium nuttallii,Mollusca,Bivalvia,Veneroida,Cardiidae
Clymenella sp,Annelida,Polychaeta,Capitellida,Maldanidae
Cnidaria,Cnidaria,,,
Columbiaemysis ignota,Arthropoda,Malacostraca,Mysidacea,Mysidae
Compsomyax subdiaphana,Mollusca,Bivalvia,Veneroida,Veneridae
Conus californicus,Mollusca,Gastropoda,Neogastropoda,Conidae
Cooperella subdiaphana,Mollusca,Bivalvia,Veneroida,Petricolidae
Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae
Corbula porcella,Mollusca,Bivalvia,Myoida,Corbulidae
Corixidae,Arthropoda,Insecta,Hemiptera,Corixidae
Corophiidae,Arthropoda,Malacostraca,Amphipoda,Corophiidae
Corophioidea,Arthropoda,Malacostraca,Amphipoda,
Corophium acherusicum,Arthropoda,Malacostraca,Amphipoda,Corophiidae
Corymorpha sp,Cnidaria,Hydrozoa,Athecatae,Corymorphidae
Corymorphidae,Cnidaria,Hydrozoa,Athecatae,Corymorphidae
Cossura candida,Annelida,Polychaeta,Cossurida,Cossuridae
Cossura pygodactylata,Annelida,Polychaeta,Cossurida,Cossuridae
Cossura sp,Annelida,Polychaeta,Cossurida,Cossuridae
Cossura sp A,Annelida,Polychaeta,Cossurida,Cossuridae
Crangon alaskensis,Arthropoda,Malacostraca,Decapoda,Crangonidae
Crangon franciscorum,Arthropoda,Malacostraca,Decapoda,Crangonidae
Crangon nigricauda,Arthropoda,Malacostraca,Decapoda,Crangonidae
Crangon nigromaculata,Arthropoda,Malacostraca,Decapoda,Crangonidae
Crangon sp,Arthropoda,Malacostraca,Decapoda,Crangonidae
Crepidula adunca,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula convexa,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula glottidiarum,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula naticarum,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula norrisianum,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula onyx,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula plana,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepidula sp,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crepipatella dorsata,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Crucibulum spinosum,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae
Cryptomya californica,Mollusca,Bivalvia,Myoida,Myidae
Ctenodrilus serratus,Annelida,Polychaeta,Ctenodrilida,Ctenodrilidae
Cumacea,Arthropoda,Malacostraca,Cumacea,
Cumanotus fernaldi,Mollusca,Gastropoda,Nudibranchia,Cumanotidae
Cumella californica,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Cumella sp,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Cumella vulgaris,Arthropoda,Malacostraca,Cumacea,Nannastacidae
Cumingia californica,Mollusca,Bivalvia,Veneroida,Semelidae
Cyathodonta pedroana,Mollusca,Bivalvia,Pholadomyoida,Thraciidae
Cyclaspis sp,Arthropoda,Malacostraca,Cumacea,Bodotriidae
Cylichna diegensis,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae
Cylindroleberididae,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae
Dasyhelea sp,Arthropoda,Insecta,Diptera,Ceratopogonidae
Decamastus gracilis,Annelida,Polychaeta,Capitellida,Capitellidae
Decapoda,Arthropoda,Malacostraca,Decapoda,
Deflexilodes norvegicus,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae
Deltamysis sp A,Arthropoda,Malacostraca,Mysidacea,Mysidae
Demonax sp,Annelida,Polychaeta,Sabellida,Sabellidae
Dendraster excentricus,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae
Dendraster sp,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae
Dentaliidae,Mollusca,Scaphopoda,Dentaliida,Dentaliidae
Deutella californica,Arthropoda,Malacostraca,Amphipoda,Pariambidae
Deximinidae,Arthropoda,Malacostraca,Amphipoda,Deximinidae
Diadumene sp,Cnidaria,Anthozoa,Actiniaria,Diadumenidae
Diastylis crenellata,Arthropoda,Malacostraca,Cumacea,Diastylidae
Diastylis santamariensis,Arthropoda,Malacostraca,Cumacea,Diastylidae
Diastylis sp,Arthropoda,Malacostraca,Cumacea,Diastylidae
Diastylopsis dawsoni,Arthropoda,Malacostraca,Cumacea,Diastylidae
Diastylopsis tenuis,Arthropoda,Malacostraca,Cumacea,Diastylidae
Diopatra ornata,Annelida,Polychaeta,Eunicida,Onuphidae
Diopatra sp,Annelida,Polychaeta,Eunicida,Onuphidae
Diopatra splendidissima,Annelida,Polychaeta,Eunicida,Onuphidae
Diopatra tridentata,Annelida,Polychaeta,Eunicida,Onuphidae
Diplocirrus sp SD1,Annelida,Polychaeta,Flabelligerida,Flabelligeridae
Diplodonta orbella,Mollusca,Bivalvia,Veneroida,Ungulinidae
Diplodonta sericata,Mollusca,Bivalvia,Veneroida,Ungulinidae
Diplodonta sp,Mollusca,Bivalvia,Veneroida,Ungulinidae
Dipolydora sp,Annelida,Polychaeta,Spionida,Spionidae
Diptera,Arthropoda,Insecta,Diptera,
Dispio dibranchiata,Annelida,Polychaeta,Spionida,Spionidae
Dispio uncinata,Annelida,Polychaeta,Spionida,Spionidae
Distaplia occidentalis,Chordata,Ascidiacea,Aplousobranchiata,Polycitoridae
Dolichopodidae,Arthropoda,Insecta,Diptera,Dolichopodidae
Donax gouldii,Mollusca,Bivalvia,Veneroida,Veneridae
Dorvillea (Dorvillea) sp,Annelida,Polychaeta,Eunicida,Dorvilleidae
Dorvillea (Schistomeringos) sp,Annelida,Polychaeta,Eunicida,Dorvilleidae
Dorvilleidae,Annelida,Polychaeta,Eunicida,Dorvilleidae
Drilonereis falcata,Annelida,Polychaeta,Eunicida,Oenonidae
Drilonereis longa,Annelida,Polychaeta,Eunicida,Oenonidae
Drilonereis mexicana,Annelida,Polychaeta,Eunicida,Oenonidae
Drilonereis nuda,Annelida,Polychaeta,Eunicida,Oenonidae
Drilonereis sp,Annelida,Polychaeta,Eunicida,Oenonidae
Dulichia sp,Arthropoda,Malacostraca,Amphipoda,Podoceridae
Dynamenella sp,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae
Dyopedos sp,Arthropoda,Malacostraca,Amphipoda,Podoceridae
Echinoidea,Echinodermata,Echinoidea,,
Echiura,Echiura,,,
Eclysippe trilobata,Annelida,Polychaeta,Terebellida,Ampharetidae
Edotia sp,Arthropoda,Malacostraca,Isopoda,Idoteidae
Edotia sp B,Arthropoda,Malacostraca,Isopoda,Idoteidae
Edotia sublittoralis,Arthropoda,Malacostraca,Isopoda,Idoteidae
Edwardsia californica,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
Edwardsia sipunculoides,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
Edwardsia sp,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
Edwardsia sp G,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
Edwardsiidae,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
Elasmopus antennatus,Arthropoda,Malacostraca,Amphipoda,Melitidae
Elasmopus bampo,Arthropoda,Malacostraca,Amphipoda,Melitidae
Elasmopus mutatus,Arthropoda,Malacostraca,Amphipoda,Melitidae
Elasmopus sp,Arthropoda,Malacostraca,Amphipoda,Melitidae
Ensis myrae,Mollusca,Bivalvia,Veneroida,Pharidae
Enteropneusta,Chordata,Enteropneusta,,Ptychoderidae
