"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT"
"B03-4155",1-01-01,1,51,5,7,14,0,0,0,0
"B03-4156",1-01-01,1,6,1,3,3,0,0,0,0
"B03-4157",1-01-01,1,21,6,2,3,0,0,0,0
"B03-4158",1-01-01,1,33,12,6,15,0,0,0,0
"B03-4159",1-01-01,1,93,11,16,50,0,0,0,0
"B03-4160",1-01-01,1,3,0,2,4,0,0,0,0
"B03-4161",1-01-01,1,17,2,3,973,85,0,0,-0.2
"B03-4162",1-01-01,1,62,13,11,31,0,0,0,0
"B03-4163",1-01-01,1,86,14,27,230,0,0,0,-0.1
"B03-4164",1-01-01,1,48,8,11,25,0,0,0,0
"B03-4165",1-01-01,1,86,6,17,54,0,0,0,0
"B03-4166",1-01-01,1,52,10,3,16,0,0,0,-0.1
"B03-4167",1-01-01,1,42,5,11,32,0,0,0,0
"B03-4168",1-01-01,1,17,5,3,190,2,0,0,-0.2
"B03-4169",1-01-01,1,27,1,3,4,0,0,0,0
"B03-4170",1-01-01,1,81,13,14,70,0,0,0,0
"B03-4171",1-01-01,1,71,4,13,98,0,0,0,0
"B03-4172",1-01-01,1,60,7,17,47,0,0,0,0
"B03-4173",1-01-01,1,66,6,15,41,0,0,0,-0.1
"B03-4177",1-01-01,1,43,9,7,16,0,0,0,-0.1
"B03-4178",1-01-01,1,53,11,9,36,0,0,0,0
"B03-4179",1-01-01,1,20,0,4,7,0,0,0,0
"B03-4181",1-01-01,1,59,7,19,128,0,0,1,0
"B03-4182",1-01-01,1,61,10,14,1191,308,0,0,-0.2
"B03-4183",1-01-01,1,97,11,21,58,0,0,0,-0.1
"B03-4184",1-01-01,1,54,11,7,31,0,0,0,0
"B03-4185",1-01-01,1,97,13,25,92,0,0,0,-0.1
"B03-4186",1-01-01,1,52,4,16,55,0,0,0,0
"B03-4188",1-01-01,1,7,0,0,0,0,0,0,0
"B03-4189",1-01-01,1,41,7,5,14,0,0,1,0
"B03-4192",1-01-01,1,24,3,6,33,0,0,0,0
"B03-4193",1-01-01,1,61,15,11,151,0,2,0,-0.1
"B03-4194",1-01-01,1,14,3,2,6,0,0,0,-0.1
"B03-4195",1-01-01,1,54,7,10,29,0,0,0,0
"B03-4196",1-01-01,1,8,0,3,4,0,0,0,0
"B03-4197",1-01-01,1,2,0,0,0,0,0,0,0
"B03-4198",1-01-01,1,75,14,12,25,0,0,0,0
"B03-4199",1-01-01,1,4,1,1,1,0,0,0,0
"B03-4200",1-01-01,1,42,10,7,11,0,0,0,0
"B03-4201",1-01-01,1,21,2,5,5,0,0,0,0
"B03-4202",1-01-01,1,13,2,1,1,0,0,0,0
"B03-4203",1-01-01,1,36,6,8,31,0,0,0,0
"B03-4204",1-01-01,1,37,2,11,1168,0,0,0,0
"B03-4205",1-01-01,1,73,12,12,30,0,0,0,0
"B03-4206",1-01-01,1,22,4,5,38,16,0,0,-0.2
"B03-4207",1-01-01,1,55,9,12,36,0,0,0,0
"B03-4208",1-01-01,1,35,9,8,15,0,0,2,0
"B03-4209",1-01-01,1,18,6,2,7,0,0,1,0
"B03-4210",1-01-01,1,54,12,8,59,0,0,0,0
"B03-4211",1-01-01,1,2,0,0,0,0,0,0,0
"B03-4212",1-01-01,1,27,5,6,49,0,0,0,-0.1
"B03-4213",1-01-01,1,13,1,7,4169,3262,0,0,-0.2
"B03-4215",1-01-01,1,72,6,13,28,0,0,0,0
"B03-4216",1-01-01,1,4,0,1,3,0,0,0,0
"B03-4218",1-01-01,1,72,9,19,78,0,0,0,0
"B03-4219",1-01-01,1,0,0,0,0,0,0,0,0
"B03-4220",1-01-01,1,3,0,1,1,0,0,0,0
"B03-4221",1-01-01,1,17,3,3,554,418,0,0,-0.2
"B03-4222",1-01-01,1,63,15,13,35,0,0,0,0
"B03-4224",1-01-01,1,8,1,1,1,0,0,0,0
"B03-4227",1-01-01,1,42,8,6,30,0,0,0,0
"B03-4228",1-01-01,1,42,5,7,546,0,0,0,-0.2
"B03-4230",1-01-01,1,74,11,11,23,0,0,0,0
"B03-4232",1-01-01,1,72,12,16,33,0,0,0,0
"B03-4234",1-01-01,1,75,6,11,16,0,0,0,0
"B03-4235",1-01-01,1,106,15,17,311,0,0,0,0
"B03-4236",1-01-01,1,32,3,6,55,0,0,0,-0.1
"B03-4237",1-01-01,1,47,5,12,29,0,0,0,0
"B03-4238",1-01-01,1,59,7,16,49,0,0,0,0
"B03-4239",1-01-01,1,8,1,3,3,0,0,0,0
"B03-4240",1-01-01,1,9,2,0,0,0,0,0,0
"B03-4241",1-01-01,1,91,13,21,88,0,0,0,0
"B03-4242",1-01-01,1,58,7,14,72,0,0,0,0
"B03-4243",1-01-01,1,74,7,19,75,0,0,0,0
"B03-4244",1-01-01,1,61,15,6,14,0,0,0,0
"B03-4246",1-01-01,1,42,11,9,34,0,0,0,-0.1
"B03-4248",1-01-01,1,73,16,12,18,0,0,0,0
"B03-4249",1-01-01,1,7,0,0,0,0,0,0,0
"B03-4250",1-01-01,1,61,5,17,74,0,0,0,0
"B03-4251",1-01-01,1,65,9,14,37,0,0,0,0
"B03-4252",1-01-01,1,9,0,0,0,0,0,0,0
"B03-4253",1-01-01,1,64,4,25,130,0,0,1,0
"B03-4254",1-01-01,1,13,0,3,4,0,0,0,0
"B03-4255",1-01-01,1,63,4,23,85,0,0,0,-0.1
"B03-4256",1-01-01,1,42,8,11,27,0,0,0,0
"B03-4257",1-01-01,1,64,14,13,60,0,0,0,-0.2
"B03-4258",1-01-01,1,23,4,4,1252,0,0,0,-0.2
"B03-4259",1-01-01,1,31,3,11,62,0,0,0,0
"B03-4260",1-01-01,1,58,10,14,32,0,0,0,0
"B03-4261",1-01-01,1,22,2,7,35,0,0,0,0
"B03-4262",1-01-01,1,67,13,7,22,0,0,0,0
"B03-4263",1-01-01,1,6,2,0,0,0,0,0,0
"B03-4264",1-01-01,1,40,6,18,1235,0,0,0,-0.2
"B03-4265",1-01-01,1,70,8,15,45,0,0,0,0
"B03-4266",1-01-01,1,44,9,8,41,0,0,0,0
"B03-4267",1-01-01,1,37,8,6,51,0,0,0,0
"B03-4268",1-01-01,1,50,7,17,514,0,6,3,0
"B03-4269",1-01-01,1,21,6,0,0,0,0,0,0
"B03-4270",1-01-01,1,8,1,2,17,0,0,0,-0.2
"B03-4272",1-01-01,1,47,17,7,20,0,0,1,0
"B03-4273",1-01-01,1,18,6,2,484,17,0,0,-0.1
"B03-4274",1-01-01,1,50,13,12,29,0,0,0,0
"B03-4276",1-01-01,1,63,10,17,336,0,0,0,-0.1
"B03-4277",1-01-01,1,90,15,15,62,0,0,0,0
"B03-4278",1-01-01,1,59,9,11,18,0,0,0,0
"B03-4279",1-01-01,1,15,3,2,2,0,0,0,0
"B03-4280",1-01-01,1,108,17,22,97,0,0,0,0
"B03-4282",1-01-01,1,112,13,19,76,0,0,0,0
"B03-4284",1-01-01,1,18,2,5,19,0,0,0,0
"B03-4285",1-01-01,1,41,6,9,40,0,0,0,0
"B03-4286",1-01-01,1,102,16,24,104,0,0,0,-0.1
"B03-4288",1-01-01,1,14,4,2,428,218,0,0,-0.2
"B03-4290",1-01-01,1,98,16,15,64,0,0,0,0
"B03-4291",1-01-01,1,36,10,6,68,0,0,0,0
"B03-4294",1-01-01,1,54,4,8,15,0,0,0,0
"B03-4295",1-01-01,1,7,0,0,0,0,0,0,0
"B03-4296",1-01-01,1,48,12,10,18,0,0,0,0
"B03-4297",1-01-01,1,9,0,2,3,0,0,0,0
"B03-4298",1-01-01,1,7,0,1,1,0,0,0,0
"B03-4299",1-01-01,1,80,7,20,193,0,0,0,0
"B03-4300",1-01-01,1,33,4,14,70,0,0,0,0
"B03-4301",1-01-01,1,70,14,13,39,0,0,0,0
"B03-4304",1-01-01,1,15,4,3,4,0,0,0,0
"B03-4305",1-01-01,1,49,12,5,804,0,0,0,-0.2
"B03-4306",1-01-01,1,29,7,7,24,0,0,0,0
"B03-4308",1-01-01,1,36,3,9,28,1,0,0,-0.1
"B03-4309",1-01-01,1,52,6,7,9,0,0,0,0
"B03-4312",1-01-01,1,53,8,9,26,0,0,0,0
"B03-4314",1-01-01,1,62,6,21,114,0,0,0,0
"B03-4315",1-01-01,1,69,8,20,69,0,0,0,0
"B03-4316",1-01-01,1,3,1,0,0,0,0,0,0
"B03-4317",1-01-01,1,74,10,15,42,0,0,2,0
"B03-4318",1-01-01,1,53,5,19,304,21,0,0,-0.1
"B03-4320",1-01-01,1,47,5,19,99,0,0,0,0
"B03-4321",1-01-01,1,64,14,10,45,0,0,0,0
"B03-4322",1-01-01,1,28,5,8,403,0,0,0,-0.1
"B03-4326",1-01-01,1,92,8,16,55,0,0,0,-0.2
"B03-4327",1-01-01,1,8,0,2,2,0,0,0,0
"B03-4328",1-01-01,1,109,9,23,58,0,0,0,-0.1
"B03-4329",1-01-01,1,24,3,5,18,0,0,0,0
"B03-4330",1-01-01,1,51,5,15,39,0,0,0,0
"B03-4331",1-01-01,1,24,3,3,29,0,0,0,0
"B03-4332",1-01-01,1,55,6,11,29,0,0,0,0
"B03-4336",1-01-01,1,46,4,11,16,0,0,0,0
"B03-4337",1-01-01,1,22,6,5,73,0,0,0,-0.2
"B03-4339",1-01-01,1,69,12,14,48,0,0,0,-0.2
"B03-4340",1-01-01,1,30,4,8,26,0,0,0,-0.1
"B03-4341",1-01-01,1,33,4,6,118,0,1,0,0
"B03-4345",1-01-01,1,8,0,0,0,0,0,0,0
"B03-4346",1-01-01,1,55,4,13,28,0,0,0,0
"B03-4347",1-01-01,1,52,6,11,27,0,0,0,0
"B03-4348",1-01-01,1,32,5,12,170,0,3,0,0
"B03-4349",1-01-01,1,92,10,24,157,0,0,0,0
"B03-4350",1-01-01,1,76,16,14,74,0,0,0,0
"B03-4351",1-01-01,1,58,5,7,10,0,0,0,0
"B03-4352",1-01-01,1,8,0,0,0,0,0,0,0
"B03-4356",1-01-01,1,9,0,1,1,0,0,0,0
"B03-4359",1-01-01,1,1,0,0,0,0,0,0,0
"B03-4360",1-01-01,1,44,14,11,366,0,1,0,-0.2
"B03-4361",1-01-01,1,4,0,0,0,0,0,0,0
"B03-4362",1-01-01,1,64,8,12,43,0,0,0,0
"B03-4363",1-01-01,1,72,10,10,20,0,0,0,0
"B03-4364",1-01-01,1,34,3,10,68,0,0,0,-0.1
"B03-4365",1-01-01,1,83,6,21,144,0,0,0,0
"B03-4366",1-01-01,1,81,8,11,26,0,0,0,0
"B03-4367",1-01-01,1,82,12,28,228,0,0,0,0
"B03-4368",1-01-01,1,6,0,0,0,0,0,0,0
"B03-4369",1-01-01,1,89,12,22,57,0,0,0,0
"B03-4370",1-01-01,1,56,18,10,52,0,0,0,0
"B03-4371",1-01-01,1,82,11,15,70,0,0,0,-0.2
"B03-4374",1-01-01,1,49,13,10,35,0,0,0,0
"B03-4376",1-01-01,1,54,8,14,59,0,0,0,0
"B03-4377",1-01-01,1,10,0,1,1,0,0,0,0
"B03-4378",1-01-01,1,30,1,4,11,0,0,0,0
"B03-4380",1-01-01,1,9,1,0,0,0,0,0,0
"B03-4381",1-01-01,1,30,3,13,51,0,0,1,0
"B03-4382",1-01-01,1,8,0,1,1,0,0,0,0
"B03-4384",1-01-01,1,93,11,23,99,0,0,0,-0.1
"B03-4386",1-01-01,1,56,7,8,51,3,0,1,-0.1
"B03-4392",1-01-01,1,9,0,0,0,0,0,0,0
"B03-4398",1-01-01,1,11,0,1,1,0,0,0,0
"B03-4400",1-01-01,1,63,18,9,43,0,0,0,0
"B03-4404",1-01-01,1,42,10,6,31,0,0,0,0
"B03-4408",1-01-01,1,4,0,2,3,0,0,0,0
"B03-4417",1-01-01,1,114,17,25,417,0,0,0,0
"B03-4418",1-01-01,1,28,2,7,37,0,0,0,-0.1
"B03-4419",1-01-01,1,75,8,19,59,0,0,0,-0.1
"B03-4421",1-01-01,1,65,9,15,30,0,0,0,0
"B03-4423",1-01-01,1,45,3,16,293,0,0,0,-0.1
"B03-4424",1-01-01,1,64,15,14,222,0,2,0,-0.1
"B03-4425",1-01-01,1,51,4,7,42,0,0,0,0
"B03-4426",1-01-01,1,30,4,2,2,0,0,0,0
"B03-4436",1-01-01,1,21,1,4,95,35,0,0,-0.2
"B03-4440",1-01-01,1,43,7,5,1088,239,0,0,-0.2
"B03-4446",1-01-01,1,37,2,4,4,0,0,0,0
"B03-4453",1-01-01,1,39,6,5,10,0,0,0,0
"B03-4456",1-01-01,1,63,9,13,87,0,0,0,-0.2
"B03-4458",1-01-01,1,40,5,7,10,0,0,0,0
"B03-4481",1-01-01,1,66,8,8,22,0,0,0,-0.1
"B03-4494",1-01-01,1,30,8,3,401,87,0,4,-0.1
"B03-4520",1-01-01,1,17,1,6,952,0,0,0,-0.1
"B03-4522",1-01-01,1,29,4,4,6,0,0,0,-0.1
"B03-4529",1-01-01,1,38,10,6,15,0,0,0,0
"B03-4545",1-01-01,1,35,7,3,4,0,0,0,0
"B03-4561",1-01-01,1,61,4,16,32,0,0,0,-0.1
"B03-4574",1-01-01,1,36,5,6,14,0,0,0,-0.2
"B03-4581",1-01-01,1,66,5,20,64,0,0,0,0
"B03-4600",1-01-01,1,21,0,3,7,3,0,0,-0.1
"B03-4613",1-01-01,1,37,4,8,14,0,0,0,0
"B03-4633",1-01-01,1,41,7,3,4,0,0,0,0
"B03-4636",1-01-01,1,26,3,4,657,179,0,0,-0.2
"B03-4657",1-01-01,1,57,8,10,83,0,0,0,0
"B03-4683",1-01-01,1,5,0,1,6,0,0,0,-0.1
"B03-4695",1-01-01,1,6,1,2,29,0,0,0,-0.1
"B03-4697",1-01-01,1,59,8,11,40,0,0,0,-0.1
"B03-4778",1-01-01,1,19,3,0,0,0,0,0,0
"B03-4788",1-01-01,1,13,0,1,1,0,0,0,-0.1
"B03-4810",1-01-01,1,25,5,5,12,0,0,0,0
"B03-4852",1-01-01,1,23,5,4,128,0,0,0,-0.2
"B03-4856",1-01-01,1,16,0,2,54,31,0,0,-0.1
"B03-4913",1-01-01,1,64,5,17,42,0,0,0,0
"B03-4939",1-01-01,1,3,0,1,2,0,0,0,-0.1
"B03-5002",1-01-01,1,16,4,4,8,0,0,0,0
"B03-5012",1-01-01,1,13,2,3,54,23,0,0,-0.2
"B03-5014",1-01-01,1,43,6,10,157,0,0,1,-0.2
"B03-5034",1-01-01,1,27,6,3,3,0,0,0,-0.1
"B03-5108",1-01-01,1,24,3,6,253,0,0,0,-0.2
"B03-5301",1-01-01,1,14,6,2,83,15,0,0,-0.1
"B03-5735",1-01-01,1,44,6,6,469,0,0,1,-0.2
"B03-5739",1-01-01,1,6,0,0,0,0,0,0,-0.1
"B03-5767",1-01-01,1,50,9,10,529,20,0,1,-0.1
"B03-5771",1-01-01,1,3,0,1,2,0,0,0,-0.1
"B03-5787",1-01-01,1,84,18,17,296,0,0,14,-0.1
"B08-6001",1-01-01,1,4,0,0,0,0,0,0,0
"B08-6004",1-01-01,1,14,4,3,16,0,0,0,0
"B08-6009",1-01-01,1,24,9,2,13,0,0,0,-0.2
"B08-6010",1-01-01,1,14,5,2,24,0,0,0,-0.2
"B08-6012",1-01-01,1,6,2,1,2,0,0,0,-0.1
"B08-6015",1-01-01,1,45,8,18,107,0,0,0,-0.1
"B08-6017",1-01-01,1,32,9,10,126,0,0,0,-0.2
"B08-6025",1-01-01,1,25,4,10,37,0,0,0,-0.1
"B08-6027",1-01-01,1,24,4,8,23,0,0,0,-0.1
"B08-6031",1-01-01,1,41,8,13,133,0,0,0,-0.1
"B08-6039",1-01-01,1,25,4,3,5,0,1,0,0
"B08-6040",1-01-01,1,23,5,4,5,0,0,0,0
"B08-6041",1-01-01,1,27,4,4,9,0,0,0,-0.1
"B08-6042",1-01-01,1,19,3,5,8,0,0,0,0
"B08-6044",1-01-01,1,15,7,3,3,0,0,0,0
"B08-6045",1-01-01,1,18,6,4,7,0,0,0,0
"B08-6046",1-01-01,1,26,3,5,6,0,0,0,-0.1
"B08-6047",1-01-01,1,47,9,13,99,0,0,0,-0.1
"B08-6049",1-01-01,1,19,4,2,3,0,0,0,0
"B08-6052",1-01-01,1,55,8,14,462,0,0,0,-0.2
"B08-6054",1-01-01,1,27,5,8,14,0,0,0,0
"B08-6057",1-01-01,1,42,10,12,168,0,0,0,-0.1
"B08-6060",1-01-01,1,33,5,12,207,0,0,0,-0.2
"B08-6065",1-01-01,1,35,9,10,521,0,0,0,-0.2
"B08-6068",1-01-01,1,32,5,10,40,0,0,0,-0.1
"B08-6069",1-01-01,1,20,6,5,307,0,0,0,-0.2
"B08-6071",1-01-01,1,44,8,10,34,0,0,0,-0.1
"B08-6072",1-01-01,1,48,7,15,67,0,2,0,-0.1
"B08-6075",1-01-01,1,65,12,14,164,0,2,0,-0.2
"B08-6080",1-01-01,1,41,9,13,32,1,0,0,-0.1
"B08-6083",1-01-01,1,28,5,8,18,0,0,0,0
"B08-6084",1-01-01,1,50,9,9,101,0,0,1,-0.2
"B08-6085",1-01-01,1,23,3,7,25,0,0,0,0
"B08-6086",1-01-01,1,34,5,10,30,0,0,0,-0.1
"B08-6087",1-01-01,1,31,6,8,33,0,0,0,-0.1
"B08-6090",1-01-01,1,41,9,6,13,0,9,0,-0.2
"B08-6093",1-01-01,1,66,12,22,242,0,0,1,-0.2
"B08-6094",1-01-01,1,37,8,9,31,0,0,0,-0.1
"B08-6106",1-01-01,1,35,8,9,18,0,13,1,-0.1
"B08-6110",1-01-01,1,34,7,9,36,0,13,0,0
"B08-6113",1-01-01,1,28,3,10,38,0,0,0,0
"B08-6115",1-01-01,1,38,4,8,36,0,0,0,-0.2
"B08-6116",1-01-01,1,31,4,8,22,0,0,0,0
"B08-6119",1-01-01,1,45,7,11,41,0,0,0,-0.1
"B08-6120",1-01-01,1,33,5,7,18,0,0,0,-0.1
"B08-6125",1-01-01,1,31,4,12,127,0,0,0,-0.1
"B08-6127",1-01-01,1,29,4,8,15,0,0,0,0
"B08-6128",1-01-01,1,73,15,14,34,0,0,0,-0.1
"B08-6129",1-01-01,1,61,13,14,119,0,3,1,-0.2
"B08-6130",1-01-01,1,65,19,11,107,0,1,0,0
"B08-6133",1-01-01,1,18,1,9,27,0,0,0,0
"B08-6134",1-01-01,1,46,7,10,105,0,17,1,0
"B08-6136",1-01-01,1,62,15,14,123,0,59,1,0
"B08-6138",1-01-01,1,72,13,21,1317,0,4,0,-0.1
"B08-6140",1-01-01,1,44,8,13,40,0,1,0,-0.1
"B08-6145",1-01-01,1,34,7,10,46,0,0,0,0
"B08-6148",1-01-01,1,34,4,10,186,0,0,0,-0.2
"B08-6151",1-01-01,1,52,7,17,161,0,0,0,-0.1
"B08-6152",1-01-01,1,62,11,11,106,0,20,0,-0.1
"B08-6153",1-01-01,1,24,5,11,111,0,0,0,0
"B08-6154",1-01-01,1,48,7,16,242,0,0,0,-0.1
"B08-6155",1-01-01,1,64,11,13,93,0,3,0,-0.1
"B08-6156",1-01-01,1,37,6,15,366,0,4,0,-0.1
"B08-6157",1-01-01,1,30,8,5,49,0,0,0,-0.1
