"taxon","ToleranceScore","Freq_of_Occ"
"Compsomyax subdiaphana",-22.84158765,369
"Conus californicus",-24.01599569,12
"Cooperella subdiaphana",-8.378979585,339
"Corbula porcella",-38.44527345,20
"Corymorpha sp",44.43132945,92
"Cossura candida",33.970385864,187
"Cossura sp A",49.794335417,401
"Crangon alaskensis",-8.233607492,18
"Crangon nigromaculata",-39.24165144,4
"Crepidula naticarum",-1.803046536,3
"Crepidula norrisiarum",69.792902249,2
"Crepidula onyx",15.650355841,28
"Crepipatella dorsata",123.06128034,47
"Crucibulum spinosum",23.497109285,63
"Cryptomya californica",32.447867369,111
"Cumingia californica",35.005426643,30
"Cylichna diegensis",-30.04179049,286
"Decamastus gracilis",12.01926071,253
"Deflexilodes norvegicus",2.8145890837,156
"Deltamysis sp A",120.02021914,4
"Demonax sp",105.20498388,24
"Dendraster excentricus",-13.11936399,4
"Diadumene sp",30.017142608,48
"Diastylopsis tenuis",-10.52319814,129
"Diopatra ornata",-2.612807496,189
"Diopatra splendidissima",6.9324190705,43
"Diopatra tridentata",-29.48559152,243
"Diplocirrus sp SD1",46.611422846,275
"Diplodonta orbella",15.071672288,5
"Diplodonta sericata",-3.840675953,15
"Dipolydora sp",56.562086661,532
"Dorvillea (Schistomeringos) sp",38.120833355,237
"Drilonereis longa",8.3833135768,7
"Drilonereis mexicana",45.174721253,29
"Edotia sublittoralis",4.2902477293,38
"Edwardsia californica",47.580587477,149
"Edwardsia sp G",-2.979699302,73
"Elasmopus bampo",39.897051875,53
"Ensis myrae",-16.54551654,131
"Enteropneusta",-10.03425556,588
"Eochelidium sp A",52.731715094,136
"Epilucina californica",-3.661011907,4
"Epitonium hindsii",36.218757575,7
"Eranno lagunae",-25.32773837,129
"Erichsonella crenulata",28.951801526,12
"Ericthonius brasiliensis",16.862107304,144
"Eteone sp",47.421940097,178
"Euchone incolor",48.474289844,244
"Euchone limnicola",76.265710317,397
"Euclymeninae",12.021245277,305
"Euclymeninae sp A",18.949369374,891
"Eulalia californiensis",1.3226678573,85
"Eulithidium sp",-26.83777802,10
"Eumida longicornuta",2.3968949477,128
"Euphilomedes carcharodonta",57.23740693,886
"Eupolymnia heterobranchia",27.801032827,34
"Exogone breviseta",11.402760257,64
"Exogone dwisula",52.842988361,127
"Exogone lourei",41.855022345,686
"Fabricinuda limnicola",50.029075299,183
"Gammaropsis thompsoni",-35.0939563,107
"Gari sp",9.8651783302,10
"Gibberosus myersi",-18.88131829,80
"Glottidia albida",-9.447038564,392
"Glycera americana",29.810318036,577
"Glycera macrobranchia",-13.75295085,132
"Glycera nana",17.368081455,149
"Glycinde armigera",28.222171939,560
"Gnathiidae",2.1875806415,665
"Gnorimosphaeroma oregonense",110.11019301,9
"Golfingia sp",25.282380008,5
"Goniada littorea",16.629863156,214
"Goniada maculata",-14.95220836,88
"Grandidierella japonica",105.98320386,355
"Granulina margaritula",63.541368727,13
"Halcampidae",21.570442289,168
"Haliophasma geminatum",-4.060708163,329
"Halosydna johnsoni",19.347804012,27
"Haminoea vesicula",29.868273668,105
"Harmothoe hirsuta",70.774773492,10
"Harmothoe imbricata Cmplx",26.754783038,90
"Harpacticoida",32.908446514,55
"Hartmanodes hartmanae",31.379525007,247
"Hemigrapsus oregonensis",60.699610399,15
"Hemipodia borealis",-11.75753032,35
"Hemiproto sp A",16.042033804,65
"Hesionura coineaui difficilis",-16.54093547,27
"Hesperonoe laevis",-29.17377651,71
"Heteromysis odontops",40.265098172,57
"Heterophoxus ellisi",43.504496903,324
"Heterophoxus oculatus",45.69979945,38
"Heteroserolis carinata",32.225709838,168
"Hiatella arctica",-14.89613668,58
"Hippolyte californiensis",42.411788976,28
"Hippomedon sp",23.619822395,203
"Hyalidae",19.150748062,42
"Hydroides pacificus",57.650195917,13
"Ischyrocerus sp",24.205668,25
"Iselica ovoidea",64.260650703,10
"Janiralata sp",44.750992404,11
"Janiropsis tridens",4.7509693357,3
"Jassa slatteryi",30.435782059,10
"Joeropsis dubia",-7.005835168,20
"Kalliapseudes crassus",11.561255472,5
"Kellia sp",42.9483122,12
"Kurtziella plumbea",-16.60308392,60
"Laevicardium substriatum",40.384416339,233
"Leitoscoloplos pugettensis",64.430386263,918
"Lepidonotus sp",-0.301413913,18
"Leporimetis obesa",-12.29505918,32
"Leptochelia dubia",-9.362482876,706
"Leptopecten latiauratus",11.923400964,145
"Leptosynapta sp",3.6419766324,453
"Leucothoe alata",2.2911243322,10
"Leuroleberis sharpei",0.0578599919,72
"Levinsenia gracilis",-10.45877163,203
"Liljeborgia geminata",33.153441778,7
"Limaria hemphilli",1.8685766279,14
"Lineidae",3.9557490611,1663
"Lirobittium sp",16.360485187,126
"Listriella diffusa",-31.22645707,19
"Listriella eriopisa",64.174646144,39
"Listriella goleta",-18.66310753,343
"Listriella melanica",5.7956960583,111
"Lophopanopeus bellus",41.373006596,15
"Lucinisca nuttalli",-36.17693151,44
"Lumbrinerides platypygos",18.179507207,50
"Lumbrineris cruzensis",-20.61965317,216
"Lumbrineris erecta",83.584366879,49
"Lumbrineris japonica",-25.17066701,109
"Lumbrineris latreilli",16.121682551,54
"Lumbrineris limicola",2.9048451216,4
"Lyonsia californica",43.701280954,491
"Lysippe sp",-37.80808281,572
"Macoma indentata",15.467840269,12
"Macoma nasuta",45.888415453,101
"Macoma yoldiformis",-9.177529625,428
"Mactrotoma californica",5.1071165348,89
"Maera similis",-8.23466155,26
"Malacoplax californiensis",14.403104497,36
"Maldanidae",26.054237095,1544
"Malmgreniella sp",-25.45976205,512
"Marphysa angelensis",97.8190499,22
"Marphysa disjuncta",-5.906467936,248
"Marphysa sp B",84.973513565,12
"Marphysa stylobranchiata",94.266072598,4
"Mayerella acanthopoda",22.256125395,229
"Mayerella banksia",23.435155355,162
"Mediomastus sp",57.835165119,1590
"Megalomma pigmentum",44.393181516,343
"Melanochlamys diomedea",8.7643019316,9
"Melinna sp",-4.798024871,539
"Metamysidopsis elongata",20.076353563,60
"Metasychis disparidentatus",85.834308172,440
"Micropodarke dubia",-0.8460228,32
"Microspio microcera",2.5841656972,2
"Microspio pigmentata",-2.26044449,162
"Modiolus sp",-18.10779355,201
"Molgula sp",46.610080945,55
"Monocorophium insidiosum",103.41852217,87
"Monticellina cryptica",0.2211809813,370
"Monticellina siblina",8.2948049723,367
"Musculista senhousia",68.04816597,463
"Mysidopsis californica",48.648229703,32
"Mysidopsis intii",-1.994884554,40
"Mytilus sp",6.7412447225,29
"Naineris dendritica",59.995670026,14
"Nassarius perpinguis",0.7724109742,65
"Nassarius tiarula",55.799814722,133
"Naushonia macginitiei",68.980571299,20
"Neanthes acuminata Cmplx",58.875846741,234
"Neastacilla californica",1.3309034341,84
"Nebalia pugettensis Cmplx",40.617251724,29
"Nemertea",33.990543223,2275
"Neoischyrocerus claustris",-27.27375366,2
"Neomysis sp",17.018206204,37
"Neosabellaria cementarium",-34.4357947,55
"Neotrypaea sp",30.337914733,337
"Nephasoma sp",1.4087992269,59
"Nephtys caecoides",35.511183664,533
"Nephtys californiensis",-2.333127847,1
"Nephtys cornuta",20.401780493,280
"Nephtys ferruginea",-3.783476005,529
"Nephtys simoni",25.383061774,37
"Nereis latescens",-20.46910998,28
"Nereis procera",-31.64244393,535
"Neverita reclusiana",-16.96247171,62
"Nicolea sp",13.611740739,7
"Notomastus sp",13.547510644,742
"Nuculana taphria",-18.20248779,385
"Odontosyllis phosphorea",26.108676533,185
"Odostomia sp",37.995435685,224
"Oligochaeta",69.9587992,562
"Olivella baetica",13.420973181,115
"Onuphis sp",17.027571421,702
"Ophelia assimilis",-6.517330112,1
"Ophiactis simplex",14.68999525,28
"Ophiodromus pugettensis",18.131261845,41
"Ostrea sp",28.830579967,8
"Paleanotus bellis",1.8346758081,17
"Paracaprella sp",28.222840157,9
"Paracerceis sculpta",40.150577037,123
"Paradexamine sp SD1",53.695443978,80
"Paramage scutata",-16.52175523,362
"Parandalia fauveli",-18.11492863,40
"Paranemertes californica",34.247389455,119
"Paranthura elegans",48.375782921,52
"Paraonella platybranchia",176.74278749,11
"Paraprionospio pinnata",11.369760574,1266
"Pareurythoe californica",18.383230707,11
"Parvilucina tenuisculpta",-17.92079408,684
"Pectinaria californiensis",29.763666348,775
"Pennatulacea",-6.528841597,16
"Peramphithoe sp",-13.84332099,2
"Periploma discus",-15.03098509,194
"Petaloclymene pacifica",-17.40419383,359
"Pherusa capulata",29.654243219,78
"Pherusa negligens",30.945024027,52
"Pherusa neopapillata",39.251445068,272
"Philine sp",6.6834670787,386
"Pholoe sp",-19.28676411,524
"Phoronida",99.344079858,1257
"Photis brevipes",-30.43818532,455
"Photis californica",-42.04662852,45
"Phyllodoce hartmanae",2.2202489455,404
"Phyllodoce longipes",-10.79605748,259
"Pinnixa sp",-16.57878402,570
"Piromis sp SD1",29.193672057,7
"Pista percyi",42.020980278,555
"Pista sp",97.499788913,260
"Pitar newcombianus",-34.0095603,9
"Platynereis bicanaliculata",-3.36546107,128
"Podarkeopsis glabrus",71.1359426,182
"Podarkeopsis sp A",-41.70186723,63
"Podocerus brasiliensis",9.3048753243,2
"Podocerus cristatus",55.374537857,25
"Podocerus fulanus",21.56207237,144
"Poecilochaetus johnsoni",-6.596849042,22
"Poecilochaetus sp A",1.6174093252,298
"Polycirrus sp",0.4331214996,764
"Polydora cirrosa",13.968282371,52
"Polydora cornuta",28.470571097,69
"Polydora limicola",108.88738124,15
"Polydora nuchalis",108.42040478,56
"Polyophthalmus pictus",0.8694355883,32
"Pontogeneia rostrata",135.94039038,5
"Postasterope barnesi",5.0474415987,77
"Praxillella pacifica",-0.824379943,286
"Prionospio (Minuspio) lighti",7.1822616117,480
"Prionospio (Prionospio) heterobranchia",37.459385291,477
"Prionospio (Prionospio) jubata",3.8783683115,800
"Protocirrineris sp A",51.199909078,4
"Protocirrineris sp B",45.721322242,19
"Protodorvillea gracilis",5.8381633419,44
"Protohyale frequens",89.863402403,22
"Protothaca sp",55.943797476,87
"Pseudopolydora paucibranchiata",81.682720837,573
"Pteropurpura festiva",20.323315414,1
"Pyromaia tuberculata",18.032317482,105
"Rhamphidonta retifera",-27.2108831,24
"Rhepoxynius heterocuspidatus",37.783148798,36
"Rhepoxynius sp A",10.529938817,4
"Rhynchospio glutaea",22.718268585,22
"Rictaxis punctocaelatus",8.2770303992,250
"Rochefortia coani",-22.98800902,62
"Rochefortia compressa",-23.39560417,73
"Rochefortia grippi",13.666047906,80
"Rochefortia tumida",-18.26868383,540
"Rudilemboides sp",-6.00362877,364
"Rutiderma judayi",48.255055426,15
"Sabellides manriquei",-26.57111567,124
"Saccocirrus sp",-23.92483854,16
"Saxidomus nuttalli",31.983057022,44
"Scalibregma californicum",-29.2187692,332
"Schmittius politus",63.283932638,87
"Scleroplax granulata",13.059207848,181
"Scolanthus sp B",43.827977634,49
"Scolelepis (Parascolelepis) sp",22.882635195,74
"Scolelepis (Scolelepis) sp",46.063540654,26
"Scoletoma sp A",19.737601778,238
"Scoletoma sp B",37.523280344,137
"Scoletoma sp C",74.272645626,387
"Scoloplos acmeceps",18.012243892,112
"Scoloplos armiger Cmplx",-0.478162624,246
"Scyphoproctus oculatus",25.424014651,53
"Semele venusta",-4.171435079,19
"Sigambra tentaculata",9.3198904542,52
"Simomactra sp",23.320450202,26
"Sinocorophium heteroceratum",-3.186498345,60
"Siphonodentalium quadrifissatum",-15.60302557,303
"Solen rostriformis",25.050931521,167
"Solen sicarius",0.3723490301,197
"Sphaerosyllis californiensis",15.459449368,15
"Spio maculata",33.087613356,36
"Spiochaetopterus costarum",-0.495597747,711
"Spiophanes berkeleyorum",2.2979804504,163
"Spiophanes bombyx",-26.86327485,466
"Spiophanes duplex",31.794820861,1368
"Sthenelais tertiaglabra",-32.41737067,119
"Sthenelanella uniformis",-11.01166871,545
"Streblosoma sp",7.792748837,651
"Streblospio benedicti",61.825799611,127
"Styela sp",30.02957713,17
"Sulcoretusa xystrum",18.852647102,11
"Syllides sp",27.556447374,47
"Syllis (Syllis) gracilis",-3.654858105,24
"Syllis (Typosyllis) nipponica",40.638179631,151
"Synaptotanais notabilis",75.330851186,67
"Tagelus affinis",30.333084483,188
"Tagelus subteres",37.282868851,234
"Tectura depicta",30.168028092,28
"Tellina cadieni",42.428798239,515
"Tellina carpenteri",-3.398684802,168
"Tellina idae",5.0857001537,30
"Tellina meropsis",33.518906483,142
"Tellina modesta",11.169823866,406
"Tenonia priops",6.317114838,218
"Terebellidae",-1.585495558,233
"Terebellides californica",-26.4848061,503
"Theora lubrica",46.646768387,594
"Thracia sp",8.3282484028,72
"Thyasira flexuosa",-10.69727514,364
"Thysanocardia nigra",33.983698021,205
"Tiburonella viscana",-21.84793931,13
"Timarete sp",78.142090962,10
"Trachycardium quadragenarium",11.342049628,23
"Tresus sp",33.579382354,6
"Tryonia sp",127.9489469,53
"Tubulanus sp",0.6056412604,1378
"Turbellaria",44.945531964,291
"Turbonilla sp",-17.55490132,332
"Upogebia sp",96.197670322,17
"Vargula tsujii",-7.886519498,24
"Venerupis philippinarum",53.880310832,84
"Vitrinella oldroydi",-0.243297358,20
"Volvulella panamica",-31.26262325,301
"Westwoodilla caecula",-35.90842861,461
"Zaolutus actius",42.550037683,64
