"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NotomastusAbun","PctSensTaxa"
"B03-4093",1-01-01,1,23,6,0,4.34782608695652
"B03-4094",1-01-01,1,76,15,0,23.6842105263158
"B03-4096",1-01-01,1,89,6,0,14.6067415730337
"B03-4097",1-01-01,1,37,5,0,16.2162162162162
"B03-4098",1-01-01,1,52,11,1,25
"B03-4099",1-01-01,1,29,3,0,17.2413793103448
"B03-4100",1-01-01,1,16,1,0,6.25
"B03-4101",1-01-01,1,112,10,1,18.75
"B03-4102",1-01-01,1,60,9,0,15
"B03-4103",1-01-01,1,96,9,0,10.4166666666667
"B03-4104",1-01-01,1,38,9,0,21.0526315789474
"B03-4106",1-01-01,1,24,0,0,8.33333333333333
"B03-4108",1-01-01,1,30,4,0,13.3333333333333
"B03-4109",1-01-01,1,92,9,0,22.8260869565217
"B03-4110",1-01-01,1,68,6,0,4.41176470588235
"B03-4111",1-01-01,1,36,2,0,16.6666666666667
"B03-4113",1-01-01,1,84,11,0,17.8571428571429
"B03-4115",1-01-01,1,96,10,1,10.4166666666667
"B03-4116",1-01-01,1,50,7,0,16
"B03-4117",1-01-01,1,15,1,0,20
"B03-4118",1-01-01,1,76,18,12,27.6315789473684
"B03-4119",1-01-01,1,81,8,1,20.9876543209877
"B03-4120",1-01-01,1,52,8,0,7.69230769230769
"B03-4121",1-01-01,1,4,1,0,0
"B03-4122",1-01-01,1,82,5,0,21.9512195121951
"B03-4123",1-01-01,1,91,14,3,17.5824175824176
"B03-4124",1-01-01,1,11,0,0,0
"B03-4125",1-01-01,1,24,1,0,16.6666666666667
"B03-4126",1-01-01,1,64,10,0,20.3125
"B03-4128",1-01-01,1,51,6,1,31.3725490196078
"B03-4129",1-01-01,1,35,8,0,20
"B03-4130",1-01-01,1,85,14,82,12.9411764705882
"B03-4131",1-01-01,1,33,2,0,9.09090909090909
"B03-4132",1-01-01,1,26,1,0,7.69230769230769
"B03-4133",1-01-01,1,15,1,0,13.3333333333333
"B03-4134",1-01-01,1,84,6,0,11.9047619047619
"B03-4135",1-01-01,1,11,0,0,9.09090909090909
"B03-4137",1-01-01,1,74,13,0,16.2162162162162
"B03-4138",1-01-01,1,31,5,1,12.9032258064516
"B03-4140",1-01-01,1,29,5,0,24.1379310344828
"B03-4141",1-01-01,1,109,12,0,14.6788990825688
"B03-4142",1-01-01,1,20,0,0,15
"B03-4143",1-01-01,1,46,2,0,21.7391304347826
"B03-4144",1-01-01,1,42,1,0,7.14285714285714
"B03-4145",1-01-01,1,1,1,0,0
"B03-4146",1-01-01,1,98,25,6,17.3469387755102
"B03-4147",1-01-01,1,76,4,0,11.8421052631579
"B03-4148",1-01-01,1,46,6,0,21.7391304347826
"B03-4149",1-01-01,1,43,12,0,27.906976744186
"B03-4150",1-01-01,1,126,16,0,15.8730158730159
"B03-4152",1-01-01,1,62,9,0,12.9032258064516
"B03-4153",1-01-01,1,17,0,0,11.7647058823529
"B03-4154",1-01-01,1,49,4,1,20.4081632653061
"B03-4155",1-01-01,1,70,5,0,10
"B03-4156",1-01-01,1,6,1,0,33.3333333333333
"B03-4157",1-01-01,1,26,6,0,0
"B03-4158",1-01-01,1,35,12,0,25.7142857142857
"B03-4159",1-01-01,1,148,11,2,10.1351351351351
"B03-4160",1-01-01,1,12,0,0,25
"B03-4161",1-01-01,1,17,2,0,17.6470588235294
"B03-4162",1-01-01,1,65,13,1,21.5384615384615
"B03-4163",1-01-01,1,137,14,3,10.9489051094891
"B03-4164",1-01-01,1,72,8,0,16.6666666666667
"B03-4165",1-01-01,1,109,6,0,18.348623853211
"B03-4166",1-01-01,1,64,10,2,7.8125
"B03-4167",1-01-01,1,79,5,4,11.3924050632911
"B03-4168",1-01-01,1,17,5,0,17.6470588235294
"B03-4169",1-01-01,1,51,1,2,5.88235294117647
"B03-4170",1-01-01,1,91,13,0,19.7802197802198
"B03-4171",1-01-01,1,108,4,0,13.8888888888889
"B03-4172",1-01-01,1,75,7,0,24
"B03-4173",1-01-01,1,101,6,0,8.91089108910891
"B03-4177",1-01-01,1,43,9,0,13.953488372093
"B03-4178",1-01-01,1,55,11,4,14.5454545454545
"B03-4179",1-01-01,1,31,0,0,19.3548387096774
"B03-4181",1-01-01,1,64,7,0,34.375
"B03-4182",1-01-01,1,63,10,7,14.2857142857143
"B03-4183",1-01-01,1,112,11,5,16.0714285714286
"B03-4184",1-01-01,1,81,11,0,7.40740740740741
"B03-4185",1-01-01,1,122,13,12,14.7540983606557
"B03-4186",1-01-01,1,74,4,0,16.2162162162162
"B03-4188",1-01-01,1,10,0,0,0
"B03-4189",1-01-01,1,46,7,0,19.5652173913043
"B03-4192",1-01-01,1,27,3,0,25.9259259259259
"B03-4193",1-01-01,1,63,15,0,20.6349206349206
"B03-4194",1-01-01,1,14,3,0,21.4285714285714
"B03-4195",1-01-01,1,81,7,0,8.64197530864197
"B03-4196",1-01-01,1,15,0,0,13.3333333333333
"B03-4197",1-01-01,1,3,0,0,0
"B03-4198",1-01-01,1,97,14,0,14.4329896907216
"B03-4199",1-01-01,1,8,1,0,12.5
"B03-4200",1-01-01,1,60,10,0,15
"B03-4201",1-01-01,1,28,2,0,14.2857142857143
"B03-4202",1-01-01,1,17,2,0,0
"B03-4203",1-01-01,1,40,6,0,20
"B03-4204",1-01-01,1,37,2,0,13.5135135135135
"B03-4205",1-01-01,1,97,12,1,12.3711340206186
"B03-4206",1-01-01,1,22,4,0,13.6363636363636
"B03-4207",1-01-01,1,60,9,0,21.6666666666667
"B03-4208",1-01-01,1,37,9,0,29.7297297297297
"B03-4209",1-01-01,1,18,6,0,44.4444444444444
"B03-4210",1-01-01,1,55,12,1,14.5454545454545
"B03-4211",1-01-01,1,8,0,0,0
"B03-4212",1-01-01,1,27,5,0,11.1111111111111
"B03-4213",1-01-01,1,14,1,0,7.14285714285714
"B03-4215",1-01-01,1,82,6,0,25.609756097561
"B03-4216",1-01-01,1,17,0,0,5.88235294117647
"B03-4218",1-01-01,1,90,9,0,18.8888888888889
"B03-4219",1-01-01,1,5,0,0,0
"B03-4220",1-01-01,1,8,0,0,0
"B03-4221",1-01-01,1,17,3,0,23.5294117647059
"B03-4222",1-01-01,1,78,15,0,20.5128205128205
"B03-4224",1-01-01,1,21,1,0,4.76190476190476
"B03-4227",1-01-01,1,61,8,0,8.19672131147541
"B03-4228",1-01-01,1,43,5,0,13.953488372093
"B03-4230",1-01-01,1,98,11,0,10.2040816326531
"B03-4232",1-01-01,1,100,12,0,15
"B03-4234",1-01-01,1,88,6,32,17.0454545454545
"B03-4235",1-01-01,1,163,15,0,11.6564417177914
"B03-4236",1-01-01,1,32,3,0,15.625
"B03-4237",1-01-01,1,78,5,1,8.97435897435897
"B03-4238",1-01-01,1,65,7,0,24.6153846153846
"B03-4239",1-01-01,1,14,1,0,14.2857142857143
"B03-4240",1-01-01,1,15,2,0,13.3333333333333
"B03-4241",1-01-01,1,111,13,0,18.9189189189189
"B03-4242",1-01-01,1,59,7,0,23.728813559322
"B03-4243",1-01-01,1,110,7,1,12.7272727272727
"B03-4244",1-01-01,1,86,15,0,11.6279069767442
"B03-4246",1-01-01,1,42,11,0,28.5714285714286
"B03-4248",1-01-01,1,95,16,0,14.7368421052632
"B03-4249",1-01-01,1,17,0,0,5.88235294117647
"B03-4250",1-01-01,1,84,5,0,14.2857142857143
"B03-4251",1-01-01,1,89,9,0,14.6067415730337
"B03-4252",1-01-01,1,16,0,0,0
"B03-4253",1-01-01,1,70,4,0,22.8571428571429
"B03-4254",1-01-01,1,28,0,0,10.7142857142857
"B03-4255",1-01-01,1,99,4,10,8.08080808080808
"B03-4256",1-01-01,1,52,8,0,26.9230769230769
"B03-4257",1-01-01,1,67,14,0,16.4179104477612
"B03-4258",1-01-01,1,23,4,0,13.0434782608696
"B03-4259",1-01-01,1,32,3,0,28.125
"B03-4260",1-01-01,1,89,10,0,7.86516853932584
"B03-4261",1-01-01,1,39,2,0,15.3846153846154
"B03-4262",1-01-01,1,68,13,1,23.5294117647059
"B03-4263",1-01-01,1,12,2,0,0
"B03-4264",1-01-01,1,40,6,0,12.5
"B03-4265",1-01-01,1,88,8,0,22.7272727272727
"B03-4266",1-01-01,1,47,9,0,6.38297872340426
"B03-4267",1-01-01,1,43,8,0,16.2790697674419
"B03-4268",1-01-01,1,52,7,1,36.5384615384615
"B03-4269",1-01-01,1,29,6,0,3.44827586206897
"B03-4270",1-01-01,1,8,1,0,12.5
"B03-4272",1-01-01,1,50,17,0,20
"B03-4273",1-01-01,1,19,6,0,21.0526315789474
"B03-4274",1-01-01,1,51,13,0,25.4901960784314
"B03-4276",1-01-01,1,63,10,0,12.6984126984127
"B03-4277",1-01-01,1,119,15,0,13.4453781512605
"B03-4278",1-01-01,1,77,9,0,14.2857142857143
"B03-4279",1-01-01,1,24,3,0,12.5
"B03-4280",1-01-01,1,142,17,4,17.6056338028169
"B03-4282",1-01-01,1,136,13,5,16.9117647058824
"B03-4284",1-01-01,1,18,2,0,22.2222222222222
"B03-4285",1-01-01,1,64,6,0,12.5
"B03-4286",1-01-01,1,132,16,2,15.1515151515152
"B03-4288",1-01-01,1,14,4,0,7.14285714285714
"B03-4290",1-01-01,1,103,16,1,21.3592233009709
"B03-4291",1-01-01,1,42,10,0,23.8095238095238
"B03-4294",1-01-01,1,63,4,8,14.2857142857143
"B03-4295",1-01-01,1,15,0,0,6.66666666666667
"B03-4296",1-01-01,1,66,12,0,15.1515151515152
"B03-4297",1-01-01,1,21,0,0,19.047619047619
"B03-4298",1-01-01,1,13,0,0,0
"B03-4299",1-01-01,1,130,7,0,11.5384615384615
"B03-4300",1-01-01,1,34,4,0,23.5294117647059
"B03-4301",1-01-01,1,82,14,0,15.8536585365854
"B03-4304",1-01-01,1,15,4,0,20
"B03-4305",1-01-01,1,50,12,2,16
"B03-4306",1-01-01,1,32,7,0,18.75
"B03-4308",1-01-01,1,36,3,0,22.2222222222222
"B03-4309",1-01-01,1,65,6,4,12.3076923076923
"B03-4312",1-01-01,1,76,8,0,7.89473684210526
"B03-4314",1-01-01,1,78,6,0,14.1025641025641
"B03-4315",1-01-01,1,73,8,0,23.2876712328767
"B03-4316",1-01-01,1,13,1,0,0
"B03-4317",1-01-01,1,78,10,1,20.5128205128205
"B03-4318",1-01-01,1,54,5,1,18.5185185185185
"B03-4320",1-01-01,1,52,5,0,23.0769230769231
"B03-4321",1-01-01,1,70,14,0,25.7142857142857
"B03-4322",1-01-01,1,28,5,0,10.7142857142857
"B03-4326",1-01-01,1,110,8,2,12.7272727272727
"B03-4327",1-01-01,1,16,0,0,6.25
"B03-4328",1-01-01,1,131,9,0,14.5038167938931
"B03-4329",1-01-01,1,42,3,0,11.9047619047619
"B03-4330",1-01-01,1,62,5,0,17.741935483871
"B03-4331",1-01-01,1,27,3,0,22.2222222222222
"B03-4332",1-01-01,1,69,6,1,13.0434782608696
"B03-4336",1-01-01,1,49,4,0,24.4897959183673
"B03-4337",1-01-01,1,22,6,0,13.6363636363636
"B03-4339",1-01-01,1,102,12,0,12.7450980392157
"B03-4340",1-01-01,1,30,4,0,16.6666666666667
"B03-4341",1-01-01,1,35,4,1,17.1428571428571
"B03-4345",1-01-01,1,14,0,0,0
"B03-4346",1-01-01,1,68,4,0,10.2941176470588
"B03-4347",1-01-01,1,81,6,0,9.87654320987654
"B03-4348",1-01-01,1,32,5,0,21.875
"B03-4349",1-01-01,1,117,10,1,20.5128205128205
"B03-4350",1-01-01,1,101,16,0,16.8316831683168
"B03-4351",1-01-01,1,83,5,0,9.63855421686747
"B03-4352",1-01-01,1,23,0,0,4.34782608695652
"B03-4356",1-01-01,1,19,0,0,15.7894736842105
"B03-4359",1-01-01,1,4,0,0,0
"B03-4360",1-01-01,1,45,14,2,17.7777777777778
"B03-4361",1-01-01,1,16,0,0,6.25
"B03-4362",1-01-01,1,88,8,0,17.0454545454545
"B03-4363",1-01-01,1,104,10,14,9.61538461538462
"B03-4364",1-01-01,1,34,3,1,20.5882352941176
"B03-4365",1-01-01,1,107,6,0,17.7570093457944
"B03-4366",1-01-01,1,91,8,0,24.1758241758242
"B03-4367",1-01-01,1,93,12,0,21.505376344086
"B03-4368",1-01-01,1,11,0,0,9.09090909090909
"B03-4369",1-01-01,1,112,12,0,16.0714285714286
"B03-4370",1-01-01,1,59,18,1,18.6440677966102
"B03-4371",1-01-01,1,118,11,2,13.5593220338983
"B03-4374",1-01-01,1,52,13,0,23.0769230769231
"B03-4376",1-01-01,1,77,8,0,14.2857142857143
"B03-4377",1-01-01,1,19,0,0,5.26315789473684
"B03-4378",1-01-01,1,54,1,0,7.40740740740741
"B03-4380",1-01-01,1,15,1,0,0
"B03-4381",1-01-01,1,32,3,0,28.125
"B03-4382",1-01-01,1,21,0,0,4.76190476190476
"B03-4384",1-01-01,1,119,11,1,15.9663865546218
"B03-4386",1-01-01,1,57,7,26,19.2982456140351
"B03-4392",1-01-01,1,19,0,0,0
"B03-4398",1-01-01,1,20,0,0,5
"B03-4400",1-01-01,1,64,18,0,18.75
"B03-4404",1-01-01,1,42,10,0,14.2857142857143
"B03-4408",1-01-01,1,5,0,0,0
"B03-4417",1-01-01,1,161,17,3,11.8012422360248
"B03-4418",1-01-01,1,28,2,0,14.2857142857143
"B03-4419",1-01-01,1,92,8,1,19.5652173913043
"B03-4421",1-01-01,1,100,9,2,11
"B03-4423",1-01-01,1,46,3,0,15.2173913043478
"B03-4424",1-01-01,1,66,15,0,24.2424242424242
"B03-4425",1-01-01,1,77,4,1,9.09090909090909
"B03-4426",1-01-01,1,46,4,3,8.69565217391304
"B03-4436",1-01-01,1,21,1,0,14.2857142857143
"B03-4440",1-01-01,1,45,7,0,15.5555555555556
"B03-4446",1-01-01,1,66,2,1,6.06060606060606
"B03-4453",1-01-01,1,52,6,1,9.61538461538462
"B03-4456",1-01-01,1,66,9,46,15.1515151515152
"B03-4458",1-01-01,1,62,5,0,19.3548387096774
"B03-4481",1-01-01,1,100,8,9,10
"B03-4494",1-01-01,1,31,8,4,29.0322580645161
"B03-4520",1-01-01,1,17,1,0,17.6470588235294
"B03-4522",1-01-01,1,40,4,2,10
"B03-4529",1-01-01,1,55,10,0,14.5454545454545
"B03-4545",1-01-01,1,51,7,2,13.7254901960784
"B03-4561",1-01-01,1,95,4,2,11.5789473684211
"B03-4574",1-01-01,1,65,5,0,7.69230769230769
"B03-4581",1-01-01,1,111,5,4,9.90990990990991
"B03-4600",1-01-01,1,21,0,0,19.047619047619
"B03-4613",1-01-01,1,55,4,1,12.7272727272727
"B03-4633",1-01-01,1,55,7,0,10.9090909090909
"B03-4636",1-01-01,1,26,3,0,15.3846153846154
"B03-4657",1-01-01,1,102,8,2,13.7254901960784
"B03-4683",1-01-01,1,6,0,0,0
"B03-4695",1-01-01,1,9,1,0,0
"B03-4697",1-01-01,1,80,8,0,12.5
"B03-4778",1-01-01,1,30,3,1,3.33333333333333
"B03-4788",1-01-01,1,13,0,0,15.3846153846154
"B03-4810",1-01-01,1,46,5,1,10.8695652173913
"B03-4852",1-01-01,1,24,5,0,4.16666666666667
"B03-4856",1-01-01,1,16,0,0,18.75
"B03-4913",1-01-01,1,104,5,0,11.5384615384615
"B03-4939",1-01-01,1,3,0,0,0
"B03-5002",1-01-01,1,39,4,0,10.2564102564103
"B03-5012",1-01-01,1,13,2,0,7.69230769230769
"B03-5014",1-01-01,1,45,6,0,17.7777777777778
"B03-5034",1-01-01,1,54,6,4,7.40740740740741
"B03-5108",1-01-01,1,24,3,0,8.33333333333333
"B03-5301",1-01-01,1,15,6,0,13.3333333333333
"B03-5735",1-01-01,1,46,6,196,15.2173913043478
"B03-5739",1-01-01,1,7,0,0,0
"B03-5767",1-01-01,1,53,9,32,15.0943396226415
"B03-5771",1-01-01,1,3,0,0,0
"B03-5787",1-01-01,1,87,18,191,13.7931034482759
"B08-6001",1-01-01,1,6,0,0,0
"B08-6004",1-01-01,1,14,4,1,14.2857142857143
"B08-6009",1-01-01,1,26,9,0,7.69230769230769
"B08-6010",1-01-01,1,14,5,0,14.2857142857143
"B08-6012",1-01-01,1,7,2,0,0
"B08-6015",1-01-01,1,46,8,0,19.5652173913043
"B08-6017",1-01-01,1,33,9,0,18.1818181818182
"B08-6025",1-01-01,1,27,4,0,18.5185185185185
"B08-6027",1-01-01,1,25,4,0,20
"B08-6031",1-01-01,1,45,8,0,17.7777777777778
"B08-6039",1-01-01,1,25,4,0,12
"B08-6040",1-01-01,1,24,5,1,12.5
"B08-6041",1-01-01,1,28,4,0,3.57142857142857
"B08-6042",1-01-01,1,19,3,0,15.7894736842105
"B08-6044",1-01-01,1,16,7,0,18.75
"B08-6045",1-01-01,1,18,6,0,22.2222222222222
"B08-6046",1-01-01,1,28,3,0,7.14285714285714
"B08-6047",1-01-01,1,49,9,0,24.4897959183673
"B08-6049",1-01-01,1,20,4,0,5
"B08-6052",1-01-01,1,60,8,0,20
"B08-6054",1-01-01,1,28,5,0,14.2857142857143
"B08-6057",1-01-01,1,46,10,0,15.2173913043478
"B08-6060",1-01-01,1,37,5,0,5.40540540540541
"B08-6065",1-01-01,1,40,9,0,7.5
"B08-6068",1-01-01,1,33,5,0,27.2727272727273
"B08-6069",1-01-01,1,21,6,0,4.76190476190476
"B08-6071",1-01-01,1,45,8,0,13.3333333333333
"B08-6072",1-01-01,1,51,7,0,17.6470588235294
"B08-6075",1-01-01,1,68,12,1,14.7058823529412
"B08-6080",1-01-01,1,44,9,0,22.7272727272727
"B08-6083",1-01-01,1,30,5,0,20
"B08-6084",1-01-01,1,57,9,0,22.8070175438596
"B08-6085",1-01-01,1,24,3,0,25
"B08-6086",1-01-01,1,37,5,1,13.5135135135135
"B08-6087",1-01-01,1,32,6,0,18.75
"B08-6090",1-01-01,1,42,9,0,19.047619047619
"B08-6093",1-01-01,1,73,12,0,17.8082191780822
"B08-6094",1-01-01,1,38,8,0,26.3157894736842
"B08-6106",1-01-01,1,38,8,0,26.3157894736842
"B08-6110",1-01-01,1,35,7,0,22.8571428571429
"B08-6113",1-01-01,1,29,3,0,17.2413793103448
"B08-6115",1-01-01,1,39,4,0,12.8205128205128
"B08-6116",1-01-01,1,31,4,0,9.67741935483871
"B08-6119",1-01-01,1,51,7,0,9.80392156862745
"B08-6120",1-01-01,1,36,5,0,13.8888888888889
"B08-6125",1-01-01,1,33,4,0,9.09090909090909
"B08-6127",1-01-01,1,31,4,0,12.9032258064516
"B08-6128",1-01-01,1,81,15,0,23.4567901234568
"B08-6129",1-01-01,1,65,13,0,24.6153846153846
"B08-6130",1-01-01,1,69,19,0,21.7391304347826
"B08-6133",1-01-01,1,19,1,0,5.26315789473684
"B08-6134",1-01-01,1,49,7,0,24.4897959183673
"B08-6136",1-01-01,1,66,15,0,19.6969696969697
"B08-6138",1-01-01,1,78,13,0,23.0769230769231
"B08-6140",1-01-01,1,46,8,0,17.3913043478261
"B08-6145",1-01-01,1,36,7,0,25
"B08-6148",1-01-01,1,38,4,0,18.4210526315789
"B08-6151",1-01-01,1,54,7,1,18.5185185185185
"B08-6152",1-01-01,1,64,11,0,28.125
"B08-6153",1-01-01,1,24,5,0,16.6666666666667
"B08-6154",1-01-01,1,52,7,1,11.5384615384615
"B08-6155",1-01-01,1,70,11,0,18.5714285714286
"B08-6156",1-01-01,1,40,6,0,22.5
"B08-6157",1-01-01,1,30,8,0,23.3333333333333
"B08-6159",1-01-01,1,27,7,0,33.3333333333333
"B08-6161",1-01-01,1,20,4,0,15
"B08-6165",1-01-01,1,48,12,0,27.0833333333333
"B08-6168",1-01-01,1,24,4,0,20.8333333333333
"B08-6171",1-01-01,1,11,2,0,9.09090909090909
"B08-6172",1-01-01,1,55,9,0,18.1818181818182
"B08-6173",1-01-01,1,40,11,0,27.5
"B08-6174",1-01-01,1,40,10,0,17.5
"B08-6177",1-01-01,1,16,4,0,25
"B08-6179",1-01-01,1,50,13,0,16
"B08-6180",1-01-01,1,34,5,0,20.5882352941176
"B08-6181",1-01-01,1,25,4,3,12
"B08-6189",1-01-01,1,20,3,0,10
"B08-6192",1-01-01,1,15,3,0,6.66666666666667
"B08-6197",1-01-01,1,21,6,0,4.76190476190476
"B08-6200",1-01-01,1,15,5,0,6.66666666666667
"B08-6204",1-01-01,1,66,12,0,18.1818181818182
"B08-6211",1-01-01,1,121,23,6,19.0082644628099
"B08-6212",1-01-01,1,70,8,0,22.8571428571429
"B08-6213",1-01-01,1,57,13,1,22.8070175438596
"B08-6216",1-01-01,1,57,12,0,19.2982456140351
"B08-6217",1-01-01,1,50,10,0,20
"B08-6219",1-01-01,1,48,10,0,14.5833333333333
"B08-6223",1-01-01,1,57,10,0,15.7894736842105
"B08-6228",1-01-01,1,17,6,0,11.7647058823529
"B08-6229",1-01-01,1,21,9,0,14.2857142857143
"B08-6230",1-01-01,1,22,8,0,22.7272727272727
"B08-6232",1-01-01,1,31,12,3,16.1290322580645
"B08-6236",1-01-01,1,42,20,2,19.047619047619
"B08-6239",1-01-01,1,7,1,0,14.2857142857143
"B08-6242",1-01-01,1,3,1,0,0
"B08-6243",1-01-01,1,16,5,1,18.75
"B08-6244",1-01-01,1,3,0,0,33.3333333333333
"B08-6245",1-01-01,1,12,5,0,16.6666666666667
"B08-6250",1-01-01,1,12,7,0,16.6666666666667
"B08-6251",1-01-01,1,5,2,0,20
"B08-6252",1-01-01,1,7,3,0,28.5714285714286
"B08-6253",1-01-01,1,61,18,0,13.1147540983607
"B08-6264",1-01-01,1,7,2,0,28.5714285714286
"B08-6269",1-01-01,1,18,4,4,16.6666666666667
"B08-6270",1-01-01,1,15,4,0,13.3333333333333
"B08-6271",1-01-01,1,12,6,0,16.6666666666667
"B08-6280",1-01-01,1,22,6,10,18.1818181818182
"B08-6282",1-01-01,1,45,12,1,22.2222222222222
"B08-6288",1-01-01,1,31,6,0,16.1290322580645
"B08-6291",1-01-01,1,3,0,0,0
"B08-6294",1-01-01,1,74,13,12,21.6216216216216
"B08-6303",1-01-01,1,9,5,0,0
"B08-6308",1-01-01,1,17,6,3,23.5294117647059
"B08-6311",1-01-01,1,18,10,0,11.1111111111111
"B08-6314",1-01-01,1,11,5,0,9.09090909090909
"B08-6317",1-01-01,1,6,3,0,33.3333333333333
"B08-6320",1-01-01,1,15,1,0,13.3333333333333
"B08-6325",1-01-01,1,44,10,1,22.7272727272727
"B08-6327",1-01-01,1,27,1,0,11.1111111111111
"B08-6328",1-01-01,1,22,3,0,18.1818181818182
"B08-6335",1-01-01,1,61,15,3,29.5081967213115
"B08-6343",1-01-01,1,57,15,1,26.3157894736842
"B08-6344",1-01-01,1,27,9,1,14.8148148148148
"B08-6350",1-01-01,1,24,6,0,12.5
"B08-6354",1-01-01,1,50,12,0,12
"B08-6355",1-01-01,1,19,4,0,10.5263157894737
"B08-6362",1-01-01,1,17,11,0,23.5294117647059
"B08-6363",1-01-01,1,34,9,0,11.7647058823529
"B08-6372",1-01-01,1,38,8,0,18.4210526315789
"B08-6375",1-01-01,1,24,5,0,8.33333333333333
"B08-6382",1-01-01,1,12,2,0,0
"B08-6383",1-01-01,1,52,16,0,23.0769230769231
"B08-6384",1-01-01,1,64,15,0,32.8125
"B08-6386",1-01-01,1,95,21,1,18.9473684210526
"B08-6387",1-01-01,1,50,17,3,16
