"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT","scaled_NumTaxa","scaled_NumMolluscTaxa","scaled_NumCrustaceanTaxa","scaled_CrustaceanAbun","TWV","scaled_M_insid","scaled_A_dieg","scaled_G_littor","PIT","Raw_RBI","score","index"
"B03-4026",1-01-01,1,47,4,11,50,0,0,0,0,0.474747474747475,0.142857142857143,0.379310344827586,0.0295333727111636,1.00429830560999,0,0,0,0,1.00429830560999,0.207739510791044,"RBI"
"B03-4027",1-01-01,1,86,9,11,16,0,0,0,0,0.868686868686869,0.321428571428571,0.379310344827586,0.00945067926757236,1.57178845475992,0,0,0,0,1.57178845475992,0.328739542592733,"RBI"
"B03-4028",1-01-01,1,54,8,17,306,1,3,0,-0.1,0.545454545454545,0.285714285714286,0.586206896551724,0.180744240992321,1.46256178796864,0.214429589812531,0.577350269189626,0,0.791779859002157,2.94612150597295,0.621774308309797,"RBI"
"B03-4029",1-01-01,1,79,5,19,116,0,0,0,-0.1,0.797979797979798,0.178571428571429,0.655172413793103,0.0685174246898996,1.6488529965168,0,0,0,0,1.5488529965168,0.323849252988658,"RBI"
"B03-4030",1-01-01,1,80,14,16,47,0,0,0,-0.1,0.808080808080808,0.5,0.551724137931034,0.0277613703484938,1.86674528859897,0,0,0,0,1.76674528859897,0.370308163880376,"RBI"
"B03-4032",1-01-01,1,8,3,0,0,0,0,0,-0.2,0.0808080808080808,0.107142857142857,0,0,0.187950937950938,0,0,0,0,-0.0120490620490621,-0.00896568487186824,"RBI"
"B03-4033",1-01-01,1,15,3,6,186,0,0,0,-0.1,0.151515151515152,0.107142857142857,0.206896551724138,0.109864146485529,0.493020597003529,0,0,0,0,0.393020597003529,0.0774031123674901,"RBI"
"B03-4034",1-01-01,1,29,3,6,62,0,0,1,-0.2,0.292929292929293,0.107142857142857,0.206896551724138,0.0366213821618429,0.616124047336749,0,0,0.508132748154615,0.508132748154615,1.43238954364598,0.299016960265667,"RBI"
"B03-4035",1-01-01,1,25,3,4,6,0,0,0,0,0.252525252525253,0.107142857142857,0.137931034482759,0.00354400472533963,0.498485145332203,0,0,0,0,0.498485145332203,0.0998902228853312,"RBI"
"B03-4036",1-01-01,1,83,12,18,52,0,0,0,0,0.838383838383838,0.428571428571429,0.620689655172414,0.0307147076196102,1.89532359903258,0,0,0,0,1.89532359903258,0.39772358188328,"RBI"
"B03-4037",1-01-01,1,51,8,10,24,0,0,0,0,0.515151515151515,0.285714285714286,0.344827586206897,0.0141760189013585,1.14923739179804,0,0,0,0,1.14923739179804,0.238643367121117,"RBI"
"B03-4038",1-01-01,1,35,6,6,14,0,0,0,0,0.353535353535354,0.214285714285714,0.206896551724138,0.00826934435912581,0.776784955634987,0,0,0,0,0.776784955634987,0.159229201627929,"RBI"
"B03-4039",1-01-01,1,6,0,1,2,0,0,0,0,0.0606060606060606,0,0.0344827586206897,0.00118133490844654,0.0953841529538619,0,0,0,0,0.0953841529538619,0.0139411839986912,"RBI"
"B03-4040",1-01-01,1,55,13,8,11,0,0,0,0,0.555555555555556,0.464285714285714,0.275862068965517,0.006497341996456,1.2973276743059,0,0,0,0,1.2973276743059,0.270219120321088,"RBI"
"B03-4041",1-01-01,1,69,13,15,37,0,0,0,0,0.696969696969697,0.464285714285714,0.517241379310345,0.0218546958062611,1.68396046451732,0,0,0,0,1.68396046451732,0.352656815462115,"RBI"
"B03-4042",1-01-01,1,97,15,17,57,0,0,0,-0.1,0.97979797979798,0.535714285714286,0.586206896551724,0.0336680448907265,2.11013617328667,0,0,0,0,2.01013617328667,0.422203874901209,"RBI"
"B03-4043",1-01-01,1,40,11,4,64,0,0,2,0,0.404040404040404,0.392857142857143,0.137931034482759,0.0378027170702894,0.944279260647878,0,0,0.604275079471354,0.604275079471354,2.15282941959059,0.452628874113131,"RBI"
"B03-4045",1-01-01,1,66,10,13,43,0,0,0,0,0.666666666666667,0.357142857142857,0.448275862068966,0.0253987005316007,1.47843506101139,0,0,0,0,1.47843506101139,0.308834767806266,"RBI"
"B03-4047",1-01-01,1,64,11,12,28,0,0,0,0,0.646464646464647,0.392857142857143,0.413793103448276,0.0165386887182516,1.45724956494963,0,0,0,0,1.45724956494963,0.304317604466872,"RBI"
"B03-4048",1-01-01,1,58,8,14,30,0,0,0,-0.1,0.585858585858586,0.285714285714286,0.482758620689655,0.0177200236266982,1.3587614981692,0,0,0,0,1.2587614981692,0.261996055046738,"RBI"
"B03-4049",1-01-01,1,16,6,5,11,0,0,0,-0.1,0.161616161616162,0.214285714285714,0.172413793103448,0.006497341996456,0.549940004504438,0,0,0,0,0.449940004504438,0.0895394465894324,"RBI"
"B03-4050",1-01-01,1,40,13,5,7,0,0,0,0,0.404040404040404,0.464285714285714,0.172413793103448,0.00413467217956291,1.04177357947446,0,0,0,0,1.04177357947446,0.21572997430159,"RBI"
"B03-4051",1-01-01,1,74,9,11,21,0,0,0,-0.2,0.747474747474748,0.321428571428571,0.379310344827586,0.0124040165386887,1.45131466786558,0,0,0,0,1.25131466786558,0.260408244747458,"RBI"
"B03-4052",1-01-01,1,26,3,5,11,0,0,0,-0.1,0.262626262626263,0.107142857142857,0.172413793103448,0.006497341996456,0.543807248371682,0,0,0,0,0.443807248371682,0.0882318226805292,"RBI"
"B03-4053",1-01-01,1,35,5,9,11156,9818,0,0,-0.2,0.353535353535354,0.178571428571429,0.310344827586207,6.58948611931483,2.4898231395217,2.13447204744476,0,0,2.13447204744476,6.55876723441121,1.39206124401092,"RBI"
"B03-4055",1-01-01,1,44,6,7,12,0,0,0,0,0.444444444444444,0.214285714285714,0.241379310344828,0.00708800945067927,0.901881471437656,0,0,0,0,0.901881471437656,0.185902232715918,"RBI"
"B03-4057",1-01-01,1,42,7,9,24,0,0,0,0,0.424242424242424,0.25,0.310344827586207,0.0141760189013585,0.988131256553971,0,0,0,0,0.988131256553971,0.204292378796156,"RBI"
"B03-4058",1-01-01,1,76,13,16,54,0,0,0,0,0.767676767676768,0.464285714285714,0.551724137931034,0.0318960425280567,1.79166063052553,0,0,0,0,1.79166063052553,0.375620603523567,"RBI"
"B03-4060",1-01-01,1,3,0,1,1,0,0,0,0,0.0303030303030303,0,0.0344827586206897,0.000590667454223272,0.0649334557872758,0,0,0,0,0.0649334557872758,0.00744849803566648,"RBI"
"B03-4061",1-01-01,1,46,3,19,43,0,0,0,0,0.464646464646465,0.107142857142857,0.655172413793103,0.0253987005316007,1.23331141071533,0,0,0,0,1.23331141071533,0.256569597167447,"RBI"
"B03-4062",1-01-01,1,50,8,11,18,0,0,1,0,0.505050505050505,0.285714285714286,0.379310344827586,0.0106320141760189,1.17273313913638,0,0,0.508132748154615,0.508132748154615,2.18899863544561,0.460340860436165,"RBI"
"B03-4064",1-01-01,1,85,11,19,57,0,0,0,0,0.858585858585859,0.392857142857143,0.655172413793103,0.0336680448907265,1.91503242645879,0,0,0,0,1.91503242645879,0.401925890502939,"RBI"
"B03-4065",1-01-01,1,59,16,7,193,0,0,0,-0.2,0.595959595959596,0.571428571428571,0.241379310344828,0.113998818665092,1.43726718239927,0,0,0,0,1.23726718239927,0.25741304528769,"RBI"
"B03-4066",1-01-01,1,6,1,0,0,0,0,0,0,0.0606060606060606,0.0357142857142857,0,0,0.0963203463203463,0,0,0,0,0.0963203463203463,0.0141407987889864,"RBI"
"B03-4067",1-01-01,1,39,3,11,31,0,0,0,0,0.393939393939394,0.107142857142857,0.379310344827586,0.0183106910809214,0.884970268680068,0,0,0,0,0.884970268680068,0.182296432554385,"RBI"
"B03-4068",1-01-01,1,39,4,8,12,0,0,0,0,0.393939393939394,0.142857142857143,0.275862068965517,0.00708800945067927,0.814430608124724,0,0,0,0,0.814430608124724,0.167255993203566,"RBI"
"B03-4069",1-01-01,1,78,12,25,93,0,0,0,0,0.787878787878788,0.428571428571429,0.862068965517241,0.0549320732427643,2.09225220027815,0,0,0,0,2.09225220027815,0.439712622660586,"RBI"
"B03-4070",1-01-01,1,63,10,8,12,0,0,0,-0.1,0.636363636363636,0.357142857142857,0.275862068965517,0.00708800945067927,1.27114056483468,0,0,0,0,1.17114056483468,0.243313553269655,"RBI"
"B03-4071",1-01-01,1,10,0,3,4,0,0,0,0,0.101010101010101,0,0.103448275862069,0.00236266981689309,0.205049044326393,0,0,0,0,0.205049044326393,0.0373238900482715,"RBI"
"B03-4072",1-01-01,1,19,7,3,168,0,0,0,0,0.191919191919192,0.25,0.103448275862069,0.0992321323095098,0.570175500858638,0,0,0,0,0.570175500858638,0.115176012976255,"RBI"
"B03-4073",1-01-01,1,98,15,22,69,0,0,0,0,0.98989898989899,0.535714285714286,0.758620689655172,0.0407560543414058,2.2944229788538,0,0,0,0,2.2944229788538,0.48281939847629,"RBI"
"B03-4074",1-01-01,1,8,0,0,0,0,0,0,0,0.0808080808080808,0,0,0,0.0808080808080808,0,0,0,0,0.0808080808080808,0.0108332794899959,"RBI"
"B03-4075",1-01-01,1,27,5,7,1132,3,0,0,-0.2,0.272727272727273,0.178571428571429,0.241379310344828,0.668635558180744,0.859836901188715,0.282205210760335,0,0,0.282205210760335,1.22424732270938,0.254636955801574,"RBI"
"B03-4076",1-01-01,1,36,2,17,258,0,0,0,-0.1,0.363636363636364,0.0714285714285714,0.586206896551724,0.152392203189604,1.05936988241406,0,0,0,0,0.95936988241406,0.198159889640525,"RBI"
"B03-4077",1-01-01,1,88,12,11,54,0,0,0,-0.1,0.888888888888889,0.428571428571429,0.379310344827586,0.0318960425280567,1.70474467291992,0,0,0,0,1.60474467291992,0.335766454780366,"RBI"
"B03-4079",1-01-01,1,42,8,6,7,0,0,0,0,0.424242424242424,0.285714285714286,0.206896551724138,0.00413467217956291,0.917886929725738,0,0,0,0,0.917886929725738,0.189314910389283,"RBI"
"B03-4080",1-01-01,1,51,7,9,20,0,0,0,0,0.515151515151515,0.25,0.310344827586207,0.0118133490844654,1.07844968000884,0,0,0,0,1.07844968000884,0.223550038381415,"RBI"
"B03-4083",1-01-01,1,14,1,4,5,0,0,0,0,0.141414141414141,0.0357142857142857,0.137931034482759,0.00295333727111636,0.315797795928965,0,0,0,0,0.315797795928965,0.0609376963601204,"RBI"
"B03-4084",1-01-01,1,34,6,8,51,0,0,0,0,0.343434343434343,0.214285714285714,0.275862068965517,0.0301240401653869,0.841113136726922,0,0,0,0,0.841113136726922,0.172945231711497,"RBI"
"B03-4085",1-01-01,1,44,7,6,83,0,1,15,0,0.444444444444444,0.25,0.206896551724138,0.0490253987005316,0.913597345843715,0,0.438691337650831,1,1.43869133765083,3.79098002114538,0.801914716662127,"RBI"
"B03-4086",1-01-01,1,73,11,14,25,0,0,0,0,0.737373737373737,0.392857142857143,0.482758620689655,0.0147666863555818,1.61668117250943,0,0,0,0,1.61668117250943,0.33831155064167,"RBI"
"B03-4087",1-01-01,1,20,4,4,844,0,0,0,-0.2,0.202020202020202,0.142857142857143,0.137931034482759,0.498523331364442,0.607439212201214,0,0,0,0,0.407439212201214,0.0804774439661437,"RBI"
"B03-4088",1-01-01,1,6,1,1,1,0,0,0,0,0.0606060606060606,0.0357142857142857,0.0344827586206897,0.000590667454223272,0.130950771804592,0,0,0,0,0.130950771804592,0.0215246848197424,"RBI"
"B03-4089",1-01-01,1,65,12,10,28,0,0,0,0,0.656565656565657,0.428571428571429,0.344827586206897,0.0165386887182516,1.43409934352354,0,0,0,0,1.43409934352354,0.299381523139349,"RBI"
"B03-4090",1-01-01,1,71,11,14,44,0,0,0,0,0.717171717171717,0.392857142857143,0.482758620689655,0.025989367985824,1.59928482271497,0,0,0,0,1.59928482271497,0.334602307615132,"RBI"
"B03-4091",1-01-01,1,4,0,1,1,0,0,0,0,0.0404040404040404,0,0.0344827586206897,0.000590667454223272,0.0750344658882859,0,0,0,0,0.0750344658882859,0.00960223153268355,"RBI"
"B03-4092",1-01-01,1,53,8,14,147,0,1,3,0,0.535353535353535,0.285714285714286,0.482758620689655,0.086828115770821,1.32553347070018,0,0.438691337650831,0.668740304976422,1.10743164262725,3.54039675595469,0.74848544903085,"RBI"
"B03-4093",1-01-01,1,18,6,1,2,0,0,0,0,0.181818181818182,0.214285714285714,0.0344827586206897,0.00118133490844654,0.430881988451697,0,0,0,0,0.430881988451697,0.0854759037210442,"RBI"
"B03-4094",1-01-01,1,69,15,16,47,0,0,0,0,0.696969696969697,0.535714285714286,0.551724137931034,0.0277613703484938,1.79134846320214,0,0,0,0,1.79134846320214,0.375554043326682,"RBI"
"B03-4096",1-01-01,1,63,6,15,57,0,0,0,0,0.636363636363636,0.214285714285714,0.517241379310345,0.0336680448907265,1.37630774118238,0,0,0,0,1.37630774118238,0.287059219868311,"RBI"
"B03-4097",1-01-01,1,36,5,8,78,0,0,0,-0.1,0.363636363636364,0.178571428571429,0.275862068965517,0.0460720614294152,0.829587876530663,0,0,0,0,0.729587876530663,0.149165858535323,"RBI"
"B03-4098",1-01-01,1,50,11,10,26,0,0,0,0,0.505050505050505,0.392857142857143,0.344827586206897,0.0153573538098051,1.246574572567,0,0,0,0,1.246574572567,0.259397563447121,"RBI"
"B03-4099",1-01-01,1,23,3,3,4,0,0,0,0,0.232323232323232,0.107142857142857,0.103448275862069,0.00236266981689309,0.443505032782382,0,0,0,0,0.443505032782382,0.0881673843885675,"RBI"
"B03-4100",1-01-01,1,8,1,2,2,0,0,0,0,0.0808080808080808,0.0357142857142857,0.0689655172413793,0.00118133490844654,0.185783217490857,0,0,0,0,0.185783217490857,0.0332160378445325,"RBI"
"B03-4101",1-01-01,1,92,10,23,93,0,0,0,0,0.929292929292929,0.357142857142857,0.793103448275862,0.0549320732427643,2.09327225302234,0,0,0,0,2.09327225302234,0.439930117915211,"RBI"
"B03-4102",1-01-01,1,50,9,5,27,0,0,0,-0.1,0.505050505050505,0.321428571428571,0.172413793103448,0.0159480212640284,1.00287987489853,0,0,0,0,0.902879874898532,0.186115111918664,"RBI"
"B03-4103",1-01-01,1,58,9,12,22,0,0,0,0,0.585858585858586,0.321428571428571,0.413793103448276,0.012994683992912,1.32432893173366,0,0,0,0,1.32432893173366,0.275976318066879,"RBI"
"B03-4104",1-01-01,1,38,9,8,1685,3,0,0,-0.2,0.383838383838384,0.321428571428571,0.275862068965517,0.995274660366214,1.22994768932403,0.282205210760335,0,0,0.282205210760335,1.5943581108447,0.333551836001001,"RBI"
"B03-4106",1-01-01,1,10,0,2,11,0,0,0,0,0.101010101010101,0,0.0689655172413793,0.006497341996456,0.171599953750594,0,0,0,0,0.171599953750594,0.0301918877933037,"RBI"
"B03-4108",1-01-01,1,30,4,7,16,0,0,0,-0.1,0.303030303030303,0.142857142857143,0.241379310344828,0.00945067926757236,0.689629426049167,0,0,0,0,0.589629426049167,0.119323971439055,"RBI"
"B03-4109",1-01-01,1,74,9,17,142,0,0,0,0,0.747474747474748,0.321428571428571,0.586206896551724,0.0838747784997047,1.67607891007997,0,0,0,0,1.67607891007997,0.350976313449887,"RBI"
"B03-4110",1-01-01,1,47,6,6,18,0,0,0,0,0.474747474747475,0.214285714285714,0.206896551724138,0.0106320141760189,0.898587744301332,0,0,0,0,0.898587744301332,0.185199945480028,"RBI"
"B03-4111",1-01-01,1,26,2,6,6,0,0,0,0,0.262626262626263,0.0714285714285714,0.206896551724138,0.00354400472533963,0.541837386960307,0,0,0,0,0.541837386960307,0.109133771206888,"RBI"
"B03-4113",1-01-01,1,74,11,14,54,0,0,0,0,0.747474747474748,0.392857142857143,0.482758620689655,0.0318960425280567,1.63106452165356,0,0,0,0,1.63106452165356,0.341378362825919,"RBI"
"B03-4115",1-01-01,1,67,10,7,16,0,0,0,-0.1,0.676767676767677,0.357142857142857,0.241379310344828,0.00945067926757236,1.27765251407225,0,0,0,0,1.17765251407225,0.244702028586835,"RBI"
"B03-4116",1-01-01,1,50,7,17,148,0,0,0,-0.1,0.505050505050505,0.25,0.586206896551724,0.0874187832250443,1.36311209740849,0,0,0,0,1.26311209740849,0.2629236881468,"RBI"
"B03-4117",1-01-01,1,14,1,4,15,0,0,0,0,0.141414141414141,0.0357142857142857,0.137931034482759,0.00886001181334909,0.317274464564523,0,0,0,0,0.317274464564523,0.0612525510798556,"RBI"
"B03-4118",1-01-01,1,74,18,13,729,0,0,0,-0.2,0.747474747474748,0.642857142857143,0.448275862068966,0.430596574128766,1.94625689593305,0,0,0,0,1.74625689593305,0.365939636659498,"RBI"
"B03-4119",1-01-01,1,73,8,19,40,0,0,0,0,0.737373737373737,0.285714285714286,0.655172413793103,0.0236266981689309,1.68416711142336,0,0,0,0,1.68416711142336,0.352700876636111,"RBI"
"B03-4120",1-01-01,1,34,8,6,8,0,0,0,0,0.343434343434343,0.285714285714286,0.206896551724138,0.00472533963378618,0.837226515781214,0,0,0,0,0.837226515781214,0.17211652788512,"RBI"
"B03-4121",1-01-01,1,3,1,0,0,0,0,0,0,0.0303030303030303,0.0357142857142857,0,0,0.066017316017316,0,0,0,0,0.066017316017316,0.00767959829793518,"RBI"
"B03-4122",1-01-01,1,67,5,15,89,0,0,0,0,0.676767676767677,0.178571428571429,0.517241379310345,0.0525694034258712,1.38572283550592,0,0,0,0,1.38572283550592,0.289066702666507,"RBI"
"B03-4123",1-01-01,1,67,14,14,29,0,0,0,0,0.676767676767677,0.5,0.482758620689655,0.0171293561724749,1.66380863650045,0,0,0,0,1.66380863650045,0.348360050426535,"RBI"
"B03-4124",1-01-01,1,7,0,0,0,0,0,0,0,0.0707070707070707,0,0,0,0.0707070707070707,0,0,0,0,0.0707070707070707,0.00867954599297883,"RBI"
"B03-4125",1-01-01,1,13,1,3,11,0,0,0,0,0.131313131313131,0.0357142857142857,0.103448275862069,0.006497341996456,0.2721000283886,0,0,0,0,0.2721000283886,0.051620475136162,"RBI"
"B03-4126",1-01-01,1,50,10,7,13,0,0,0,0,0.505050505050505,0.357142857142857,0.241379310344828,0.00767867690490254,1.10549234176442,0,0,0,0,1.10549234176442,0.229316064342093,"RBI"
"B03-4128",1-01-01,1,45,6,14,34,0,0,0,0,0.454545454545455,0.214285714285714,0.482758620689655,0.0200826934435913,1.15661046288172,0,0,0,0,1.15661046288172,0.24021545050783,"RBI"
"B03-4129",1-01-01,1,34,8,8,51,0,0,0,-0.1,0.343434343434343,0.285714285714286,0.275862068965517,0.0301240401653869,0.912541708155493,0,0,0,0,0.812541708155493,0.166853242677077,"RBI"
"B03-4130",1-01-01,1,84,14,21,1678,0,0,1,-0.2,0.848484848484849,0.5,0.724137931034483,0.991139988186651,2.32040777656599,0,0,0.508132748154615,0.508132748154615,3.13667327287522,0.662403682915826,"RBI"
"B03-4131",1-01-01,1,31,2,9,42,0,0,0,-0.1,0.313131313131313,0.0714285714285714,0.310344827586207,0.0248080330773774,0.701106720415436,0,0,0,0,0.601106720415436,0.121771155738899,"RBI"
"B03-4132",1-01-01,1,11,1,0,0,0,0,0,0,0.111111111111111,0.0357142857142857,0,0,0.146825396825397,0,0,0,0,0.146825396825397,0.0249094662740718,"RBI"
"B03-4133",1-01-01,1,9,1,0,0,0,0,0,0,0.0909090909090909,0.0357142857142857,0,0,0.126623376623377,0,0,0,0,0.126623376623377,0.0206019992800377,"RBI"
"B03-4134",1-01-01,1,64,6,6,13,0,0,0,0,0.646464646464647,0.214285714285714,0.206896551724138,0.00767867690490254,1.06956658170072,0,0,0,0,1.06956658170072,0.221655987569451,"RBI"
"B03-4135",1-01-01,1,8,0,2,3,0,0,0,0,0.0808080808080808,0,0.0689655172413793,0.00177200236266982,0.150216598640128,0,0,0,0,0.150216598640128,0.0256325370234814,"RBI"
"B03-4137",1-01-01,1,64,13,12,88,0,0,0,-0.1,0.646464646464647,0.464285714285714,0.413793103448276,0.051978735971648,1.53753814819155,0,0,0,0,1.43753814819155,0.300114743750863,"RBI"
"B03-4138",1-01-01,1,30,5,4,5,0,0,0,0,0.303030303030303,0.178571428571429,0.137931034482759,0.00295333727111636,0.620271100402269,0,0,0,0,0.620271100402269,0.125857377484492,"RBI"
"B03-4140",1-01-01,1,29,5,9,92,0,0,0,0,0.292929292929293,0.178571428571429,0.310344827586207,0.0543414057885411,0.795430900534064,0,0,0,0,0.795430900534064,0.163204882843084,"RBI"
"B03-4141",1-01-01,1,83,12,18,63,0,0,0,0,0.838383838383838,0.428571428571429,0.620689655172414,0.0372120496160662,1.8969479345317,0,0,0,0,1.8969479345317,0.398069922074989,"RBI"
"B03-4142",1-01-01,1,20,0,4,8,1,0,0,-0.1,0.202020202020202,0,0.137931034482759,0.00472533963378618,0.341132571411407,0.214429589812531,0,0,0.214429589812531,0.669991751036469,0.136458795530164,"RBI"
"B03-4143",1-01-01,1,42,2,8,20,0,0,0,0,0.424242424242424,0.0714285714285714,0.275862068965517,0.0118133490844654,0.774486401907629,0,0,0,0,0.774486401907629,0.158739104884356,"RBI"
"B03-4144",1-01-01,1,27,1,1,4,0,0,0,0,0.272727272727273,0.0357142857142857,0.0344827586206897,0.00236266981689309,0.343514984516471,0,0,0,0,0.343514984516471,0.0668475446730216,"RBI"
"B03-4145",1-01-01,1,1,1,0,0,0,0,0,0,0.0101010101010101,0.0357142857142857,0,0,0.0458152958152958,0,0,0,0,0.0458152958152958,0.00337213130390103,"RBI"
"B03-4146",1-01-01,1,95,25,12,95,0,0,0,0,0.95959595959596,0.892857142857143,0.413793103448276,0.0561134081512109,2.28027455793918,0,0,0,0,2.28027455793918,0.479802677598972,"RBI"
"B03-4147",1-01-01,1,47,4,13,26,0,0,0,-0.1,0.474747474747475,0.142857142857143,0.448275862068966,0.0153573538098051,1.06971981812603,0,0,0,0,0.969719818126034,0.200366698960775,"RBI"
"B03-4148",1-01-01,1,46,6,11,56,0,0,0,-0.1,0.464646464646465,0.214285714285714,0.379310344827586,0.0330773774365032,1.06651186811889,0,0,0,0,0.966511868118891,0.199682701091448,"RBI"
"B03-4149",1-01-01,1,40,12,6,26,0,0,6,0,0.404040404040404,0.428571428571429,0.206896551724138,0.0153573538098051,1.04334772278842,0,0,0.795270728767051,0.795270728767051,2.63388918032252,0.555200251667915,"RBI"
"B03-4150",1-01-01,1,97,16,17,36,0,0,0,0,0.97979797979798,0.571428571428571,0.586206896551724,0.0212640283520378,2.14274945486628,0,0,0,0,2.14274945486628,0.450479627903259,"RBI"
"B03-4152",1-01-01,1,43,9,5,5,0,0,0,0,0.434343434343434,0.321428571428571,0.172413793103448,0.00295333727111636,0.928924133193233,0,0,0,0,0.928924133193233,0.191668258676596,"RBI"
"B03-4153",1-01-01,1,6,0,1,1,0,0,0,0,0.0606060606060606,0,0.0344827586206897,0.000590667454223272,0.0952364860903061,0,0,0,0,0.0952364860903061,0.0139096985267177,"RBI"
